dist_id,state,schlev,agchrt,district,current_sped_exp_fy20_adjusted,state_sped_rev_fy20_adjusted,federal_sped_rev_fy20_adjusted,state_fed_sped_rev_fy20_adjusted,sped_enroll_fy20,current_sped_exp_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy23,state_sped_pp_funding_fy20,federal_sped_pp_funding_fy20,state_fed_sped_pp_funding_fy20,total_sped_pp_expenditure_fy20,state_sped_pp_funding_fy23,federal_sped_pp_funding_fy23,state_fed_sped_pp_funding_fy23,total_sped_pp_expenditure_fy23,local_sped_pp_obligation_fy20,local_sped_pp_obligation_fy23,local_sped_pp_obligation_diff
0100005,Alabama,3,3,Albertville City,3022137.106,0,1206990.764,1206990.764,455,3382000,0,1106000,1106000,491,0,2652.7269538461537,2652.7269538461537,6642.059573626374,0,2252.5458248472505,2252.5458248472505,6887.983706720977,3989.3326197802203,4635.437881873727,646.1052620935066
0100006,Alabama,3,3,Marshall County,8193789.617,0,1579806.444,1579806.444,848,8690000,0,1415000,1415000,724,0,1862.9792971698112,1862.9792971698112,9662.487755896225,0,1954.4198895027625,1954.4198895027625,12002.762430939227,7799.508458726414,10048.342541436465,2248.834082710051
0100007,Alabama,3,3,Hoover City,20112240.887,0,2898641.912,2898641.912,1333,22266000,0,2569000,2569000,1319,0,2174.5250652663167,2174.5250652663167,15087.952653413353,0,1947.6876421531463,1947.6876421531463,16880.970432145565,12913.427588147037,14933.282789992418,2019.855201845381
0100008,Alabama,3,3,Madison City,12308742.685,0,2274175.648,2274175.648,1385,13681000,0,2295000,2295000,1317,0,1642.0040779783394,1642.0040779783394,8887.178833935019,0,1742.5968109339408,1742.5968109339408,10388.00303720577,7245.174755956679,8645.406226271829,1400.2314703151496
0100011,Alabama,3,3,Leeds City,1825631.783,0,497475.923,497475.923,287,1814000,73000,492000,565000,314,0,1733.3655853658538,1733.3655853658538,6361.086351916377,232.48407643312103,1566.8789808917197,1799.3630573248408,5777.070063694267,4627.720766550523,3977.7070063694264,-650.0137601810966
0100012,Alabama,3,3,Boaz City,2003884.28,0,573204.108,573204.108,200,1944000,0,533000,533000,223,0,2866.02054,2866.02054,10019.4214,0,2390.134529147982,2390.134529147982,8717.488789237668,7153.40086,6327.354260089686,-826.0465999103135
0100013,Alabama,3,3,Trussville City,5381361.331,0,1028738.267,1028738.267,455,6192000,0,849000,849000,453,0,2260.963224175824,2260.963224175824,11827.16776043956,0,1874.1721854304635,1874.1721854304635,13668.874172185431,9566.204536263736,11794.701986754968,2228.4974504912316
0100030,Alabama,3,3,Alexander City,3106020.634,294757.397,831844.986,1126602.383,468,2872000,0,662000,662000,309,629.8234978632479,1777.4465512820514,2407.270049145299,6636.796226495727,0,2142.3948220064726,2142.3948220064726,9294.498381877023,4229.526177350428,7152.103559870551,2922.577382520123
0100060,Alabama,3,3,Andalusia City,1895534.723,0,633786.656,633786.656,279,2291000,0,499000,499000,306,0,2271.6367598566308,2271.6367598566308,6794.031265232975,0,1630.7189542483661,1630.7189542483661,7486.928104575163,4522.394505376344,5856.209150326797,1333.814644950453
0100090,Alabama,3,3,Anniston City,2119224.131,0,581359.451,581359.451,229,2005000,0,658000,658000,196,0,2538.687558951965,2538.687558951965,9254.253847161572,0,3357.1428571428573,3357.1428571428573,10229.591836734693,6715.566288209607,6872.448979591836,156.8826913822295
0100100,Alabama,3,3,Arab City,2609709.76,0,655922.587,655922.587,280,2587000,0,653000,653000,278,0,2342.580667857143,2342.580667857143,9320.392,0,2348.9208633093526,2348.9208633093526,9305.755395683453,6977.811332142857,6956.8345323741,-20.9767997687577
0100120,Alabama,3,2,Athens City,3258642.053,0,1148738.314,1148738.314,551,3837000,0,976000,976000,588,0,2084.8245263157896,2084.8245263157896,5914.050912885662,0,1659.8639455782313,1659.8639455782313,6525.510204081633,3829.2263865698724,4865.646258503401,1036.419871933529
0100180,Alabama,3,3,Attalla City,1858253.155,0,541747.785,541747.785,177,1415000,0,436000,436000,201,0,3060.7219491525425,3060.7219491525425,10498.605395480226,0,2169.1542288557216,2169.1542288557216,7039.800995024875,7437.8834463276835,4870.646766169153,-2567.2366801585304
0100185,Alabama,3,3,Saraland City,3439224.648,0,595340.039,595340.039,355,3904000,0,589000,589000,365,0,1677.0141943661972,1677.0141943661972,9687.956754929577,0,1613.6986301369864,1613.6986301369864,10695.890410958904,8010.94256056338,9082.191780821917,1071.2492202585372
0100189,Alabama,3,3,Satsuma City,1332816.056,0,453204.061,453204.061,177,1594000,0,417000,417000,206,0,2560.4749209039546,2560.4749209039546,7530.034214689266,0,2024.2718446601941,2024.2718446601941,7737.864077669903,4969.559293785312,5713.592233009709,744.0329392243975
0100190,Alabama,3,3,Alabaster City,7704469.037,48932.058,1340971.399,1389903.457,670,7796000,107000,1230000,1337000,727,73.0329223880597,2001.4498492537314,2074.482771641791,11499.207517910447,147.1801925722146,1691.8844566712517,1839.0646492434662,10723.521320495185,9424.724746268656,8884.456671251719,-540.2680750169366
0100194,Alabama,3,3,Pelham City,2707573.876,93203.92,831844.986,925048.906,334,3093000,151000,760000,911000,399,279.0536526946108,2490.5538502994013,2769.607502994012,8106.508610778444,378.44611528822054,1904.7619047619048,2283.2080200501255,7751.87969924812,5336.901107784432,5468.671679197994,131.77057141356272
0100195,Alabama,3,3,Pike Road City,1711456.981,95534.018,431068.13,526602.148,188,2685000,0,488000,488000,246,508.15967021276595,2292.915585106383,2801.075255319149,9103.494579787233,0,1983.739837398374,1983.739837398374,10914.634146341463,6302.419324468085,8930.894308943089,2628.474984475004
0100202,Alabama,3,3,Gulf Shores City,1686990.952,0,440388.522,440388.522,223,1808000,0,476000,476000,233,0,1974.8364215246636,1974.8364215246636,7564.981847533632,0,2042.9184549356223,2042.9184549356223,7759.656652360515,5590.145426008969,5716.738197424893,126.59277141592429
0100210,Alabama,3,3,Auburn City,11221751.968,0,1762719.137,1762719.137,989,12572000,0,1798000,1798000,1084,0,1782.3247087967645,1782.3247087967645,11346.564173913044,0,1658.671586715867,1658.671586715867,11597.78597785978,9564.23946511628,9939.114391143912,374.8749260276327
0100240,Alabama,3,3,Autauga County,9237673.521,0,2307962.069,2307962.069,1067,9858000,0,2200000,2200000,1125,0,2163.038490159325,2163.038490159325,8657.613421743205,0,1955.5555555555557,1955.5555555555557,8762.666666666666,6494.574931583879,6807.11111111111,312.53617952723107
0100270,Alabama,3,3,Baldwin County,41339433.667,0,7333983.455,7333983.455,4670,43227000,0,6883000,6883000,4546,0,1570.446135974304,1570.446135974304,8852.127123554605,0,1514.0783106027277,1514.0783106027277,9508.798944126705,7281.680987580301,7994.720633523978,713.039645943677
0100300,Alabama,3,3,Barbour County,932039.2,0,333204.014,333204.014,87,692000,0,265000,265000,87,0,3829.931195402299,3829.931195402299,10713.094252873563,0,3045.977011494253,3045.977011494253,7954.022988505747,6883.1630574712635,4908.045977011494,-1975.1170804597696
0100360,Alabama,3,3,Bibb County,3814370.426,0,1040388.757,1040388.757,458,4100000,0,889000,889000,398,0,2271.591172489083,2271.591172489083,8328.319707423581,0,2233.668341708543,2233.668341708543,10301.507537688442,6056.728534934498,8067.839195979899,2011.1106610454008
0100390,Alabama,3,3,Birmingham City,26527000.681,0,5967380.978,5967380.978,2814,27824000,0,6732000,6732000,2351,0,2120.604469793888,2120.604469793888,9426.794840440654,0,2863.4623564440662,2863.4623564440662,11834.963845172268,7306.1903706467665,8971.501488728201,1665.3111180814349
0100420,Alabama,3,3,Blount County,7309517.426,0,1974758.055,1974758.055,991,7405000,0,1861000,1861000,1134,0,1992.6922855701312,1992.6922855701312,7375.900530776993,0,1641.0934744268077,1641.0934744268077,6529.982363315697,5383.208245206862,4888.888888888889,-494.31935631797296
