dist_id,state,schlev,agchrt,district,current_sped_exp_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,sped_enroll_fy20,current_sped_exp_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy23,state_sped_pp_funding_fy20,federal_sped_pp_funding_fy20,state_fed_sped_pp_funding_fy20,total_sped_pp_expenditure_fy20,state_sped_pp_funding_fy23,federal_sped_pp_funding_fy23,state_fed_sped_pp_funding_fy23,total_sped_pp_expenditure_fy23,local_sped_pp_obligation_fy20,local_sped_pp_obligation_fy23,local_sped_pp_obligation_diff
0100005,Alabama,3,3,Albertville City,2594000,0,1036000,1036000,455,3382000,0,1106000,1106000,491,0,2276.923076923077,2276.923076923077,5701.0989010989015,0,2252.5458248472505,2252.5458248472505,6887.983706720977,3424.1758241758243,4635.437881873727,1211.2620576979025
0100006,Alabama,3,3,Marshall County,7033000,0,1356000,1356000,848,8690000,0,1415000,1415000,724,0,1599.0566037735848,1599.0566037735848,8293.632075471698,0,1954.4198895027625,1954.4198895027625,12002.762430939227,6694.575471698114,10048.342541436465,3353.767069738351
0100007,Alabama,3,3,Hoover City,17263000,0,2488000,2488000,1333,22266000,0,2569000,2569000,1319,0,1866.4666166541635,1866.4666166541635,12950.487621905477,0,1947.6876421531463,1947.6876421531463,16880.970432145565,11084.021005251314,14933.282789992418,3849.261784741104
0100008,Alabama,3,3,Madison City,10565000,0,1952000,1952000,1385,13681000,0,2295000,2295000,1317,0,1409.3862815884477,1409.3862815884477,7628.158844765343,0,1742.5968109339408,1742.5968109339408,10388.00303720577,6218.772563176895,8645.406226271829,2426.6336630949336
0100011,Alabama,3,3,Leeds City,1567000,0,427000,427000,287,1814000,73000,492000,565000,314,0,1487.8048780487804,1487.8048780487804,5459.93031358885,232.48407643312103,1566.8789808917197,1799.3630573248408,5777.070063694267,3972.1254355400697,3977.7070063694264,5.581570829356679
0100012,Alabama,3,3,Boaz City,1720000,0,492000,492000,200,1944000,0,533000,533000,223,0,2460,2460,8600,0,2390.134529147982,2390.134529147982,8717.488789237668,6140,6327.354260089686,187.35426008968625
0100013,Alabama,3,3,Trussville City,4619000,0,883000,883000,455,6192000,0,849000,849000,453,0,1940.6593406593406,1940.6593406593406,10151.648351648351,0,1874.1721854304635,1874.1721854304635,13668.874172185431,8210.989010989011,11794.701986754968,3583.712975765957
0100030,Alabama,3,3,Alexander City,2666000,253000,714000,967000,468,2872000,0,662000,662000,309,540.5982905982906,1525.6410256410256,2066.2393162393164,5696.581196581196,0,2142.3948220064726,2142.3948220064726,9294.498381877023,3630.34188034188,7152.103559870551,3521.7616795286713
0100060,Alabama,3,3,Andalusia City,1627000,0,544000,544000,279,2291000,0,499000,499000,306,0,1949.820788530466,1949.820788530466,5831.541218637993,0,1630.7189542483661,1630.7189542483661,7486.928104575163,3881.7204301075267,5856.209150326797,1974.48872021927
0100090,Alabama,3,3,Anniston City,1819000,0,499000,499000,229,2005000,0,658000,658000,196,0,2179.039301310044,2179.039301310044,7943.231441048035,0,3357.1428571428573,3357.1428571428573,10229.591836734693,5764.192139737991,6872.448979591836,1108.2568398538451
0100100,Alabama,3,3,Arab City,2240000,0,563000,563000,280,2587000,0,653000,653000,278,0,2010.7142857142858,2010.7142857142858,8000,0,2348.9208633093526,2348.9208633093526,9305.755395683453,5989.285714285714,6956.8345323741,967.5488180883858
0100120,Alabama,3,2,Athens City,2797000,0,986000,986000,551,3837000,0,976000,976000,588,0,1789.4736842105262,1789.4736842105262,5076.225045372051,0,1659.8639455782313,1659.8639455782313,6525.510204081633,3286.7513611615245,4865.646258503401,1578.894897341877
0100180,Alabama,3,3,Attalla City,1595000,0,465000,465000,177,1415000,0,436000,436000,201,0,2627.1186440677966,2627.1186440677966,9011.299435028248,0,2169.1542288557216,2169.1542288557216,7039.800995024875,6384.180790960451,4870.646766169153,-1513.5340247912982
0100185,Alabama,3,3,Saraland City,2952000,0,511000,511000,355,3904000,0,589000,589000,365,0,1439.4366197183099,1439.4366197183099,8315.492957746479,0,1613.6986301369864,1613.6986301369864,10695.890410958904,6876.056338028169,9082.191780821917,2206.1354427937476
0100189,Alabama,3,3,Satsuma City,1144000,0,389000,389000,177,1594000,0,417000,417000,206,0,2197.74011299435,2197.74011299435,6463.276836158192,0,2024.2718446601941,2024.2718446601941,7737.864077669903,4265.536723163842,5713.592233009709,1448.0555098458672
0100190,Alabama,3,3,Alabaster City,6613000,42000,1151000,1193000,670,7796000,107000,1230000,1337000,727,62.6865671641791,1717.910447761194,1780.597014925373,9870.149253731342,147.1801925722146,1691.8844566712517,1839.0646492434662,10723.521320495185,8089.552238805969,8884.456671251719,794.90443244575
0100194,Alabama,3,3,Pelham City,2324000,80000,714000,794000,334,3093000,151000,760000,911000,399,239.52095808383234,2137.7245508982037,2377.245508982036,6958.083832335329,378.44611528822054,1904.7619047619048,2283.2080200501255,7751.87969924812,4580.838323353293,5468.671679197994,887.8333558447011
0100195,Alabama,3,3,Pike Road City,1469000,82000,370000,452000,188,2685000,0,488000,488000,246,436.17021276595744,1968.0851063829787,2404.255319148936,7813.829787234043,0,1983.739837398374,1983.739837398374,10914.634146341463,5409.574468085107,8930.894308943089,3521.319840857982
0100202,Alabama,3,3,Gulf Shores City,1448000,0,378000,378000,223,1808000,0,476000,476000,233,0,1695.067264573991,1695.067264573991,6493.273542600897,0,2042.9184549356223,2042.9184549356223,7759.656652360515,4798.206278026906,5716.738197424893,918.5319193979867
0100210,Alabama,3,3,Auburn City,9632000,0,1513000,1513000,989,12572000,0,1798000,1798000,1084,0,1529.8281092012132,1529.8281092012132,9739.130434782608,0,1658.671586715867,1658.671586715867,11597.78597785978,8209.302325581395,9939.114391143912,1729.812065562517
0100240,Alabama,3,3,Autauga County,7929000,0,1981000,1981000,1067,9858000,0,2200000,2200000,1125,0,1856.6073102155576,1856.6073102155576,7431.115276476101,0,1955.5555555555557,1955.5555555555557,8762.666666666666,5574.507966260543,6807.11111111111,1232.6031448505673
0100270,Alabama,3,3,Baldwin County,35483000,0,6295000,6295000,4670,43227000,0,6883000,6883000,4546,0,1347.96573875803,1347.96573875803,7598.072805139186,0,1514.0783106027277,1514.0783106027277,9508.798944126705,6250.107066381156,7994.720633523978,1744.613567142822
0100300,Alabama,3,3,Barbour County,800000,0,286000,286000,87,692000,0,265000,265000,87,0,3287.3563218390805,3287.3563218390805,9195.402298850575,0,3045.977011494253,3045.977011494253,7954.022988505747,5908.045977011494,4908.045977011494,-1000
0100360,Alabama,3,3,Bibb County,3274000,0,893000,893000,458,4100000,0,889000,889000,398,0,1949.7816593886462,1949.7816593886462,7148.471615720524,0,2233.668341708543,2233.668341708543,10301.507537688442,5198.6899563318775,8067.839195979899,2869.1492396480216
0100390,Alabama,3,3,Birmingham City,22769000,0,5122000,5122000,2814,27824000,0,6732000,6732000,2351,0,1820.184790334044,1820.184790334044,8091.32906894101,0,2863.4623564440662,2863.4623564440662,11834.963845172268,6271.144278606966,8971.501488728201,2700.3572101212358
0100420,Alabama,3,3,Blount County,6274000,0,1695000,1695000,991,7405000,0,1861000,1861000,1134,0,1710.393541876892,1710.393541876892,6330.9788092835515,0,1641.0934744268077,1641.0934744268077,6529.982363315697,4620.585267406659,4888.888888888889,268.3036214822296
0100450,Alabama,3,3,Brewton City,710000,0,261000,261000,132,979000,0,289000,289000,128,0,1977.2727272727273,1977.2727272727273,5378.787878787879,0,2257.8125,2257.8125,7648.4375,3401.515151515152,5390.625,1989.109848484848
0100510,Alabama,3,3,Butler County,2576000,0,974000,974000,348,2969000,0,828000,828000,346,0,2798.8505747126437,2798.8505747126437,7402.298850574713,0,2393.063583815029,2393.063583815029,8580.92485549133,4603.448275862069,6187.861271676302,1584.412995814233
0100540,Alabama,3,3,Calhoun County,8928000,0,2335000,2335000,1225,9359000,0,2159000,2159000,1232,0,1906.1224489795918,1906.1224489795918,7288.163265306122,0,1752.435064935065,1752.435064935065,7596.590909090909,5382.040816326531,5844.1558441558445,462.1150278293135
