state,district,dist_id,sped_enroll_fy22
ALABAMA,Acceleration Day and Evening Academy,0100197,62
ALABAMA,Al Inst Deaf And Blind,0100009,328
ALABAMA,Alabama Youth Services,0100002,21
ALABAMA,Alabaster City,0100190,679
ALABAMA,Albertville City,0100005,465
ALABAMA,Alexander City,0100030,0
ALABAMA,Andalusia City,0100060,301
ALABAMA,Anniston City,0100090,213
ALABAMA,Arab City,0100100,267
ALABAMA,Athens City,0100120,548
ALABAMA,Attalla City,0100180,180
ALABAMA,Auburn City,0100210,981
ALABAMA,Autauga County,0100240,1017
ALABAMA,Baldwin County,0100270,4476
ALABAMA,Barbour County,0100300,0
ALABAMA,Bessemer City,0100330,343
ALABAMA,Bibb County,0100360,395
ALABAMA,Birmingham City,0100390,2446
ALABAMA,Blount County,0100420,1045
ALABAMA,Boaz City,0100012,192
ALABAMA,Breakthrough Charter School,0100208,0
ALABAMA,Brewton City,0100450,117
ALABAMA,Bullock County,0100480,125
ALABAMA,Butler County,0100510,322
ALABAMA,Calhoun County,0100540,1167
ALABAMA,Chambers County,0100600,556
ALABAMA,Cherokee County,0100630,497
ALABAMA,Chickasaw City,0100188,375
ALABAMA,Chilton County,0100660,819
ALABAMA,Choctaw County,0100690,134
ALABAMA,Clarke County,0100720,283
ALABAMA,Clay County,0100750,221
ALABAMA,Cleburne County,0100780,263
ALABAMA,Coffee County,0100810,309
ALABAMA,Colbert County,0100840,430
ALABAMA,Conecuh County,0100870,133
ALABAMA,Coosa County,0100900,124
ALABAMA,Covington County,0100930,386
ALABAMA,Crenshaw County,0100960,324
ALABAMA,Cullman City,0100990,374
ALABAMA,Cullman County,0101020,1525
ALABAMA,Dale County,0101050,0
ALABAMA,Daleville City,0101080,0
ALABAMA,Dallas County,0101110,365
ALABAMA,Decatur City,0101170,1135
ALABAMA,DeKalb County,0101140,0
ALABAMA,Demopolis City,0101200,128
ALABAMA,Dothan City,0101230,1257
ALABAMA,Elba City,0101260,0
ALABAMA,Elmore County,0101290,1506
ALABAMA,Enterprise City,0101320,556
ALABAMA,Escambia County,0101350,534
ALABAMA,Etowah County,0101380,1126
ALABAMA,Eufaula City,0101410,806
ALABAMA,Fairfield City,0101440,193
ALABAMA,Fayette County,0101470,274
ALABAMA,Florence City,0101530,616
ALABAMA,Fort Payne City,0101560,253
ALABAMA,Franklin County,0101590,538
ALABAMA,Gadsden City,0101620,660
ALABAMA,Geneva City,0101640,137
ALABAMA,Geneva County,0101660,398
ALABAMA,Greene County,0101680,91
ALABAMA,Gulf Shores City,0100202,218
ALABAMA,Guntersville City,0101690,155
ALABAMA,Hale County,0101710,187
ALABAMA,Haleyville City,0101720,215
ALABAMA,Hartselle City,0101730,509
ALABAMA,Henry County,0101740,303
ALABAMA,Homewood City,0101760,280
ALABAMA,Hoover City,0100007,1263
ALABAMA,Houston County,0101770,787
ALABAMA,Huntsville City,0101800,2966
ALABAMA,i3 Academy,0100204,62
ALABAMA,Jackson County,0101830,640
ALABAMA,Jacksonville City,0101860,240
ALABAMA,Jasper City,0101890,343
ALABAMA,Jefferson County,0101920,4743
ALABAMA,Lamar County,0101950,345
ALABAMA,Lanett City,0101980,124
ALABAMA,Lauderdale County,0102010,1095
ALABAMA,Lawrence County,0102040,806
ALABAMA,LEAD Academy,0100203,34
ALABAMA,Lee County,0102070,1364
ALABAMA,Leeds City,0100011,304
ALABAMA,Legacy Prep,0100201,25
ALABAMA,Limestone County,0102100,1762
ALABAMA,Linden City,0102130,51
ALABAMA,Lowndes County,0102160,119
ALABAMA,Macon County,0102190,184
ALABAMA,Madison City,0100008,1301
ALABAMA,Madison County,0102220,2343
ALABAMA,Magic City Acceptance Academy,0100211,18
ALABAMA,Marengo County,0102250,121
ALABAMA,Marion County,0102310,425
ALABAMA,Marshall County,0100006,776
ALABAMA,Midfield City,0102350,125
ALABAMA,Mobile County,0102370,7495
ALABAMA,Monroe County,0102400,397
ALABAMA,Montgomery County,0102430,2509
ALABAMA,Morgan County,0102480,1009
ALABAMA,Mountain Brook City,0102490,488
ALABAMA,Muscle Shoals City,0102520,345
ALABAMA,Oneonta City,0102550,111
ALABAMA,Opelika City,0102580,521
ALABAMA,Opp City,0102610,168
ALABAMA,Oxford City,0102635,516
ALABAMA,Ozark City,0102640,273
ALABAMA,Pelham City,0100194,372
ALABAMA,Pell City,0102650,480
ALABAMA,Perry County,0102670,143
ALABAMA,Phenix City,0102700,721
ALABAMA,Pickens County,0102730,347
ALABAMA,Piedmont City,0102760,156
ALABAMA,Pike County,0102790,350
ALABAMA,Pike Road City,0100195,214
ALABAMA,Randolph County,0102820,277
ALABAMA,Roanoke City,0102850,155
ALABAMA,Russell County,0102880,390
ALABAMA,Russellville City,0102910,244
ALABAMA,Saraland City,0100185,322
ALABAMA,Satsuma City,0100189,194
ALABAMA,Scottsboro City,0102940,261
ALABAMA,Selma City,0102970,267
ALABAMA,Sheffield City,0103000,153
ALABAMA,Shelby County,0103030,2322
