state,district,dist_id,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23
ALABAMA,Alabama Youth Services,0100002,36,17,21,24
ALABAMA,Albertville City,0100005,455,452,465,491
ALABAMA,Marshall County,0100006,848,811,776,724
ALABAMA,Hoover City,0100007,1333,1241,1263,1319
ALABAMA,Madison City,0100008,1385,1287,1301,1317
ALABAMA,Al Inst Deaf And Blind,0100009,386,332,328,334
ALABAMA,Leeds City,0100011,287,284,304,314
ALABAMA,Boaz City,0100012,200,184,192,223
ALABAMA,Trussville City,0100013,455,443,446,453
ALABAMA,SafetyNet Academy Minter,0100015,42,35,NA,NA
ALABAMA,Bryce Adolescent School,0100016,NA,NA,NA,NA
ALABAMA,Alabama School of Fine Arts,0100018,NA,NA,NA,NA
ALABAMA,United Ability,0100019,19,0,NA,NA
ALABAMA,Boyd School,0100020,3,3,NA,NA
ALABAMA,BrewerPorch Childrens Center,0100021,29,22,NA,NA
ALABAMA,Sequel TSI Courtland LLC,0100022,21,12,NA,NA
ALABAMA,Sequel TSI Madison LLC,0100023,NA,NA,NA,NA
ALABAMA,Sequel TSI New Beginnings LLC,0100024,9,-8,NA,NA
ALABAMA,Sequel TSI Tuskegee LLC,0100026,16,10,NA,NA
ALABAMA,Triwill Portacras,0100028,4,4,NA,NA
ALABAMA,Alexander City,0100030,468,395,-8,309
ALABAMA,Glenwood Mental Health Service,0100033,41,34,NA,NA
ALABAMA,The Little Tree Preschool  Auburn,0100035,87,58,NA,NA
ALABAMA,Lee County Youth Development Center,0100036,24,8,NA,NA
ALABAMA,BayPointe Residential Services,0100037,14,22,NA,NA
ALABAMA,Pathway Inc,0100038,41,50,NA,NA
ALABAMA,Presbyterian Home for Children,0100039,4,3,NA,NA
ALABAMA,Brantwood Childrens Home,0100040,4,7,NA,NA
ALABAMA,Developing Alabama Youth Prog,0100041,NA,NA,NA,NA
ALABAMA,Laurel Oaks Behavioral Health Center,0100042,43,40,NA,NA
ALABAMA,Southeastern Psychiaric Management Inc,0100043,15,17,NA,NA
ALABAMA,Andalusia City,0100060,279,276,301,306
ALABAMA,Anniston City,0100090,229,206,213,196
ALABAMA,Arab City,0100100,280,253,267,278
ALABAMA,Athens City,0100120,551,501,548,588
ALABAMA,POINTE Academy LLC,0100175,25,12,NA,NA
ALABAMA,JF Ingram State Technical College,0100176,38,15,NA,14
ALABAMA,Higdon Hill School,0100178,38,25,NA,NA
ALABAMA,Attalla City,0100180,177,173,180,201
ALABAMA,Alabama Clinical Schools,0100183,39,39,NA,NA
ALABAMA,Saraland City,0100185,355,311,322,365
ALABAMA,Father Purcell Center,0100186,10,-8,NA,NA
ALABAMA,Montgomery Childrens Specialty Center,0100187,5,-8,NA,NA
ALABAMA,Chickasaw City,0100188,227,312,375,-8
ALABAMA,Satsuma City,0100189,177,163,194,206
ALABAMA,Alabaster City,0100190,670,655,679,727
ALABAMA,Evergreen School,0100191,3,-8,NA,NA
ALABAMA,Montgomery Public Schools MPS Classroom McInnis,0100192,6,4,NA,NA
ALABAMA,Pelham City,0100194,334,317,372,399
ALABAMA,Pike Road City,0100195,188,200,214,246
ALABAMA,Acceleration Day and Evening Academy,0100197,42,50,62,85
ALABAMA,Sequel TSI Montgomery LLC,0100198,3,6,NA,NA
ALABAMA,University Charter School,0100199,36,54,-8,-8
ALABAMA,East Alabama Academy,0100200,3,-8,NA,NA
ALABAMA,Legacy Prep,0100201,8,21,25,40
ALABAMA,Gulf Shores City,0100202,223,199,218,233
ALABAMA,LEAD Academy,0100203,19,22,34,-8
ALABAMA,Auburn City,0100210,989,946,981,1084
ALABAMA,Autauga County,0100240,1067,1016,1017,1125
ALABAMA,Baldwin County,0100270,4670,4215,4476,4546
ALABAMA,Barbour County,0100300,87,-8,-8,87
ALABAMA,Bessemer City,0100330,410,358,343,303
ALABAMA,Bibb County,0100360,458,430,395,398
ALABAMA,Birmingham City,0100390,2814,2669,2446,2351
ALABAMA,Blount County,0100420,991,979,1045,1134
ALABAMA,Brewton City,0100450,132,121,117,128
ALABAMA,Bullock County,0100480,151,136,125,125
ALABAMA,Butler County,0100510,348,328,322,346
ALABAMA,Calhoun County,0100540,1225,1119,1167,1232
ALABAMA,Chambers County,0100600,622,600,556,507
ALABAMA,Cherokee County,0100630,518,494,497,499
ALABAMA,Chilton County,0100660,850,845,819,911
ALABAMA,Choctaw County,0100690,161,144,134,129
ALABAMA,Clarke County,0100720,290,271,283,292
ALABAMA,Clay County,0100750,222,221,221,209
ALABAMA,Cleburne County,0100780,291,264,263,295
ALABAMA,Coffee County,0100810,273,270,309,332
ALABAMA,Colbert County,0100840,456,434,430,478
ALABAMA,Conecuh County,0100870,181,163,133,150
ALABAMA,Coosa County,0100900,124,114,124,137
ALABAMA,Covington County,0100930,462,422,386,430
ALABAMA,Crenshaw County,0100960,330,320,324,339
ALABAMA,Cullman City,0100990,343,365,374,374
ALABAMA,Cullman County,0101020,1501,1417,1525,1534
ALABAMA,Dale County,0101050,273,272,-8,336
ALABAMA,Daleville City,0101080,139,137,-8,155
ALABAMA,Dallas County,0101110,446,394,365,349
ALABAMA,DeKalb County,0101140,1053,959,-9,989
ALABAMA,Decatur City,0101170,1212,1142,1135,1183
ALABAMA,Demopolis City,0101200,146,135,128,141
ALABAMA,Dothan City,0101230,1324,1206,1257,1309
ALABAMA,Elba City,0101260,76,-8,-8,95
ALABAMA,Elmore County,0101290,1540,1480,1506,1538
ALABAMA,Enterprise City,0101320,589,546,556,581
ALABAMA,Escambia County,0101350,543,529,534,530
ALABAMA,Etowah County,0101380,1059,1053,1126,1230
ALABAMA,Eufaula City,0101410,795,895,806,860
ALABAMA,Fairfield City,0101440,208,195,193,-8
ALABAMA,Fayette County,0101470,278,269,274,298
ALABAMA,Florence City,0101530,588,564,616,612
ALABAMA,Fort Payne City,0101560,225,239,253,277
ALABAMA,Franklin County,0101590,543,522,538,537
ALABAMA,Gadsden City,0101620,750,691,660,656
ALABAMA,Geneva City,0101640,141,138,137,158
ALABAMA,Geneva County,0101660,412,395,398,413
ALABAMA,Greene County,0101680,86,84,91,-8
ALABAMA,Guntersville City,0101690,137,139,155,181
ALABAMA,Hale County,0101710,198,191,187,187
ALABAMA,Haleyville City,0101720,201,206,215,232
ALABAMA,Hartselle City,0101730,500,499,509,537
ALABAMA,Henry County,0101740,331,306,303,326
ALABAMA,Homewood City,0101760,316,276,280,309
ALABAMA,Houston County,0101770,819,747,787,855
ALABAMA,Huntsville City,0101800,3151,3000,2966,3039
ALABAMA,Jackson County,0101830,653,629,640,732
ALABAMA,Jacksonville City,0101860,214,222,240,252
ALABAMA,Jasper City,0101890,375,354,343,380
ALABAMA,Jefferson County,0101920,5185,4862,4743,4877
ALABAMA,Lamar County,0101950,380,353,345,364
ALABAMA,Lanett City,0101980,122,115,124,119
ALABAMA,Lauderdale County,0102010,1068,1023,1095,1131
ALABAMA,Lawrence County,0102040,767,760,806,820
ALABAMA,Lee County,0102070,1375,1325,1364,1394
ALABAMA,Limestone County,0102100,1273,1449,1762,1968
ALABAMA,Linden City,0102130,64,-8,51,-8
ALABAMA,Lowndes County,0102160,168,152,119,127
ALABAMA,Macon County,0102190,176,189,184,187
ALABAMA,Madison County,0102220,2404,2289,2343,2433
ALABAMA,Marengo County,0102250,148,129,121,139
ALABAMA,Marion County,0102310,449,420,425,436
ALABAMA,Midfield City,0102350,148,-8,125,-8
ALABAMA,Mobile County,0102370,8360,7621,7495,7768
ALABAMA,Monroe County,0102400,434,405,397,391
ALABAMA,Montgomery County,0102430,2928,2729,2509,2496
ALABAMA,Morgan County,0102480,1057,1013,1009,1062
ALABAMA,Mountain Brook City,0102490,484,482,488,513
ALABAMA,Muscle Shoals City,0102520,338,313,345,322
ALABAMA,Oneonta City,0102550,125,-8,111,118
ALABAMA,Opelika City,0102580,517,490,521,525
ALABAMA,Opp City,0102610,224,186,168,174
ALABAMA,Oxford City,0102635,546,499,516,541
ALABAMA,Ozark City,0102640,293,266,273,293
ALABAMA,Pell City,0102650,451,440,480,541
ALABAMA,Perry County,0102670,208,172,143,118
ALABAMA,Phenix City,0102700,707,685,721,744
ALABAMA,Pickens County,0102730,353,350,347,341
ALABAMA,Piedmont City,0102760,159,156,156,146
ALABAMA,Pike County,0102790,361,342,350,321
ALABAMA,Randolph County,0102820,304,292,277,304
ALABAMA,Roanoke City,0102850,159,154,155,149
ALABAMA,Russell County,0102880,427,394,390,421
ALABAMA,Russellville City,0102910,212,207,244,255
ALABAMA,Scottsboro City,0102940,298,268,261,265
ALABAMA,Selma City,0102970,303,303,267,292
ALABAMA,Sheffield City,0103000,170,153,153,166
ALABAMA,Shelby County,0103030,2288,2192,2322,2503
ALABAMA,St Clair County,0103062,1437,1426,1433,1410
ALABAMA,Sumter County,0103090,169,155,125,129
ALABAMA,Sylacauga City,0103120,250,257,254,277
ALABAMA,Talladega City,0103150,272,255,241,260
ALABAMA,Talladega County,0103180,942,910,954,975
ALABAMA,Tallapoosa County,0103210,429,387,384,379
ALABAMA,Tallassee City,0103240,256,247,261,266
ALABAMA,Tarrant City,0103270,161,150,149,148
ALABAMA,Thomasville City,0103300,150,-8,137,-8
ALABAMA,Troy City,0103330,241,218,243,295
ALABAMA,Tuscaloosa City,0103360,1385,1282,1236,1262
ALABAMA,Tuscaloosa County,0103390,2941,2698,2585,2674
ALABAMA,Tuscumbia City,0103420,168,-8,161,160
ALABAMA,Vestavia Hills City,0103430,619,631,635,667
ALABAMA,Walker County,0103450,1081,1051,1022,1061
ALABAMA,Washington County,0103480,368,361,339,313
ALABAMA,Wilcox County,0103510,138,130,109,-8
ALABAMA,Winfield City,0103540,122,119,112,138
ALABAMA,Winston County,0103580,348,377,370,431
ALASKA,Lower Kuskokwim School District,0200001,524,519,474,455
ALASKA,Lower Yukon School District,0200003,253,256,254,251
ALASKA,Yupiit School District,0200004,60,57,-8,48
ALASKA,Kashunamiut School District,0200005,34,34,-8,30
ALASKA,Mount Edgecumbe High School Agency,0200006,21,18,23,15
ALASKA,Aleutians East Borough School District,0200007,40,-8,-8,-8
ALASKA,Aleutian Region School District,0200010,3,4,-8,-8
ALASKA,Bering Strait School District,0200020,200,187,193,193
ALASKA,Bristol Bay Borough School District,0200030,20,16,-8,19
ALASKA,Alaska Gateway School District,0200050,71,-8,69,72
ALASKA,Cordova City School District,0200060,47,41,53,-8
ALASKA,Copper River School District,0200070,78,61,64,68
ALASKA,Craig City School District,0200090,78,91,95,93
ALASKA,Delta-Greely School District,0200100,96,82,91,95
ALASKA,Dillingham City School District,0200120,71,70,-8,59
ALASKA,Galena City School District,0200130,317,-8,-8,-8
ALASKA,Ketchikan Gateway Borough School District,0200150,369,318,374,364
ALASKA,Anchorage School District,0200180,7109,5912,6023,6183
ALASKA,Juneau Borough School District,0200210,908,776,788,840
ALASKA,Sitka School District,0200240,158,144,156,185
ALASKA,Haines Borough School District,0200270,48,-8,-8,-8
ALASKA,Hoonah City School District,0200300,27,24,-8,-8
ALASKA,Hydaburg City School District,0200330,16,15,17,25
ALASKA,Kake City School District,0200360,20,18,20,-8
ALASKA,Kenai Peninsula Borough School District,0200390,1736,1479,1525,1639
ALASKA,Klawock City School District,0200450,23,15,-8,-8
ALASKA,Kodiak Island Borough School District,0200480,295,262,298,304
ALASKA,Lake and Peninsula Borough School District,0200485,62,56,62,-8
ALASKA,Matanuska-Susitna Borough School District,0200510,2652,2378,2567,2650
ALASKA,Iditarod Area School District,0200520,42,42,-8,-8
ALASKA,Annette Island School District,0200525,62,78,79,76
ALASKA,Nenana City School District,0200540,138,141,-8,-8
ALASKA,Nome Public Schools,0200570,80,-8,-8,84
ALASKA,Fairbanks North Star Borough School District,0200600,2368,1948,2105,2232
ALASKA,North Slope Borough School District,0200610,228,230,216,195
ALASKA,Northwest Arctic Borough School District,0200625,295,281,250,230
ALASKA,Pelican City School District,0200630,3,-8,-8,3
ALASKA,Petersburg Borough School District,0200660,68,67,71,71
ALASKA,Pribilof School District,0200670,10,10,7,4
ALASKA,Saint Mary's School District,0200680,27,25,26,-8
ALASKA,Skagway School District,0200690,16,-8,-8,22
ALASKA,Southeast Island School District,0200700,33,29,31,36
ALASKA,Southwest Region School District,0200710,117,95,86,82
ALASKA,Tanana City School District,0200715,9,8,6,8
ALASKA,Unalaska City School District,0200720,14,19,-8,22
ALASKA,Chatham School District,0200730,24,22,-8,-8
ALASKA,Kuspuk School District,0200760,48,-8,52,41
ALASKA,Denali Borough School District,0200770,68,113,-8,-8
ALASKA,Yukon Flats School District,0200775,55,52,37,22
ALASKA,Valdez City School District,0200780,107,109,107,98
ALASKA,Chugach School District,0200800,32,40,37,32
ALASKA,Wrangell Public School District,0200810,45,-8,-8,41
ALASKA,Yakutat School District,0200840,23,-8,19,-8
ALASKA,Yukon-Koyukuk School District,0200862,226,501,412,365
ARIZONA,Cave Creek Unified District (4244),0400001,846,737,738,690
ARIZONA,Chino Valley Unified District (4474),0400003,395,372,421,434
ARIZONA,Clarkdale-Jerome Elementary District (4486),0400004,54,42,31,-8
ARIZONA,Salome Consolidated Elementary District (4514),0400005,19,15,-8,-8
ARIZONA,Center for Academic Success Inc. (4191),0400016,66,80,57,52
ARIZONA,Pine Forest Education Association Inc. (4201),0400018,23,20,13,22
ARIZONA,Flagstaff Arts And Leadership Academy (4202),0400019,45,55,64,53
ARIZONA,Flagstaff Montessori L.L.C. (4205),0400020,17,16,11,19
ARIZONA,Colorado City Unified District (4370),0400021,159,104,115,138
ARIZONA,Vernon Elementary District (4162),0400022,31,-8,36,-8
ARIZONA,Pinon Unified District (4390),0400023,137,132,125,139
ARIZONA,Heber-Overgaard Unified District (4392),0400026,72,64,46,60
ARIZONA,Triumphant Learning Center (4225),0400028,20,20,21,23
ARIZONA,Ridgeline Academy Inc. (4301),0400031,48,71,75,82
ARIZONA,Boys & Girls Clubs of the East Valley dba Mesa Art (4305),0400033,30,43,38,33
ARIZONA,Reid Traditional Schools' Valley Academy Inc. (4306),0400034,21,22,29,25
ARIZONA,Foothills Academy (4309),0400036,8,NA,NA,NA
ARIZONA,Twenty First Century Charter School Inc. Bennett  (4310),0400037,29,23,15,18
ARIZONA,STEP UP Schools Inc. (4313),0400040,8,7,11,12
ARIZONA,Maricopa County Community College District dba Gat (4314),0400041,19,21,24,25
ARIZONA,New School For The Arts (4316),0400043,19,21,18,22
ARIZONA,Salt River Pima-Maricopa  Community Schools (4320),0400047,51,9,10,10
ARIZONA,Espiritu Community Development Corp. (4335),0400052,47,46,45,39
ARIZONA,Heritage Academy Inc. (4336),0400053,58,83,99,111
ARIZONA,Villa Montessori Charter School (4339),0400054,43,47,46,48
ARIZONA,EduPreneurship Inc. (4341),0400055,6,7,8,NA
ARIZONA,Arizona School For The Arts (4345),0400056,37,46,44,44
ARIZONA,Arizona Call-a-Teen Youth Resources Inc. (4346),0400057,4,3,8,7
ARIZONA,Intelli-School Inc. (4352),0400061,16,18,20,14
ARIZONA,Benjamin Franklin Charter School - Queen Creek (4355),0400065,248,255,294,296
ARIZONA,Victory High School Inc. (4358),0400067,3,5,NA,NA
ARIZONA,Montessori Day Public Schools Chartered Inc. (4359),0400068,25,13,15,21
ARIZONA,Khalsa Montessori Elementary Schools (4360),0400069,8,7,8,9
ARIZONA,Tempe Preparatory Academy (4361),0400070,16,18,17,19
ARIZONA,Bright Beginnings School Inc. (4362),0400071,14,14,23,18
ARIZONA,Montessori Education Centre Charter School (4363),0400072,48,42,41,52
ARIZONA,Kingman Academy Of Learning (4383),0400074,129,122,120,129
ARIZONA,Young Scholars Academy Charter School Corp. (4385),0400075,57,58,56,67
ARIZONA,Career Development Inc. (4400),0400077,18,14,18,17
ARIZONA,Edge School Inc. The (4421),0400078,44,33,29,38
ARIZONA,Tucson Youth Development/ACE Charter High School (4422),0400079,23,27,42,84
ARIZONA,Presidio School (4425),0400081,38,38,37,42
ARIZONA,Colorado River Union High School District (4381),0400082,225,221,248,225
ARIZONA,Portable Practical Educational Preparation Inc. ( (4431),0400083,74,71,61,56
ARIZONA,Sedona Charter School Inc. (4492),0400089,15,12,11,13
ARIZONA,Mingus Springs Charter School (4493),0400090,32,29,21,26
ARIZONA,Franklin Phonetic Primary School Inc. (4495),0400092,76,74,74,74
ARIZONA,Skyview School Inc. (4496),0400093,38,43,35,NA
ARIZONA,Az-Tec High School (4508),0400094,15,18,5,NA
ARIZONA,Yuma Private Industry Council Inc. (4509),0400095,12,9,16,10
ARIZONA,Mountain School Inc. (4203),0400096,24,15,15,NA
ARIZONA,Northland Preparatory Academy (4204),0400097,57,60,57,53
ARIZONA,Flagstaff Junior Academy (4207),0400098,30,33,39,NA
ARIZONA,Liberty High School (4216),0400099,18,15,11,9
ARIZONA,Ball Charter Schools (Hearn) (4294),0400100,60,63,64,79
ARIZONA,Friendly House Inc. (4303),0400102,30,34,40,51
ARIZONA,Ombudsman Educational Services Ltd.a subsidiary  (4323),0400103,205,213,168,174
ARIZONA,Arizona Agribusiness & Equine Center Inc. (4331),0400106,25,21,24,23
ARIZONA,International Commerce Secondary Schools Inc. (4334),0400107,26,16,21,18
ARIZONA,Humanities and Sciences Academy of the United Stat (4337),0400108,22,22,18,19
ARIZONA,Phoenix Advantage Charter School Inc. (4338),0400109,19,13,8,NA
ARIZONA,Allen-Cochran Enterprises Inc. (4347),0400111,47,29,42,50
ARIZONA,American Leadership Academy Inc. (4348),0400112,970,1080,1088,1355
ARIZONA,Fountain Hills Charter School (4356),0400113,9,7,NA,NA
ARIZONA,Hermosa Montessori Charter School (4426),0400115,45,39,38,35
ARIZONA,Arizona Department of Corrections (8336),0400120,97,72,47,25
ARIZONA,Accelerated Learning Center Inc. (4297),0400121,17,22,24,21
ARIZONA,Acclaim Charter School (4325),0400122,41,32,32,24
ARIZONA,Genesis Program Inc. (4332),0400124,9,4,-8,6
ARIZONA,Montessori Schoolhouse of Tucson Inc. (4428),0400126,NA,NA,NA,-8
ARIZONA,Accelerated Elementary and Secondary Schools (6364),0400129,21,22,22,NA
ARIZONA,Edkey Inc. dba American Heritage Academy  (6365),0400130,34,28,29,29
ARIZONA,The Charter Foundation Inc. (6355),0400131,57,61,51,64
ARIZONA,BASIS Charter Schools Inc. (6361),0400134,35,39,40,39
ARIZONA,Challenge School Inc. (6362),0400135,31,28,24,19
ARIZONA,Discovery Plus Academy (6357),0400141,23,18,13,17
ARIZONA,Florence Crittenton Services of Arizona Inc. (4300),0400144,20,17,15,6
ARIZONA,Gem Charter School Inc. (6372),0400145,3,5,-8,4
ARIZONA,Ha:san Educational Services (6369),0400147,40,32,30,5
ARIZONA,Kaizen Education Foundation dba El Dorado High Sch (4342),0400149,63,55,58,69
ARIZONA,Mexicayotl Academy Inc. (4463),0400150,14,8,4,8
ARIZONA,New Horizon School for the Performing Arts (4366),0400151,24,22,21,16
ARIZONA,Phoenix School of Academic Excellence The (6379),0400153,4,7,9,8
ARIZONA,Shonto Governing Board of Education Inc. (6353),0400154,10,17,14,16
ARIZONA,Edkey Inc. - Sequoia Choice Schools (4329),0400157,120,497,458,341
ARIZONA,Tucson Preparatory School (6374),0400159,31,25,20,15
ARIZONA,Vision Charter School Inc. (4430),0400160,3,NA,NA,NA
ARIZONA,Coconino County Accommodation School District (10386),0400163,16,13,12,19
ARIZONA,Keystone Montessori Charter School Inc. (10878),0400165,44,34,34,27
ARIZONA,Benchmark School Inc. (10972),0400181,55,43,37,35
ARIZONA,Cambridge Academy  East  Inc (78888),0400182,64,62,50,41
ARIZONA,Ball Charter Schools (Dobson) (79204),0400184,70,73,73,66
ARIZONA,Phoenix Education Management LLC (4340),0400185,61,52,37,25
ARIZONA,Stepping Stones Academy (10966),0400187,37,36,29,45
ARIZONA,Liberty Traditional Charter School (10968),0400190,41,39,50,64
ARIZONA,Fit Kids Inc. dba Champion Schools (78783),0400191,117,124,139,118
ARIZONA,Northern Arizona Vocational Institute of Technolog (78786),0400197,NA,NA,NA,NA
ARIZONA,Pima County (4420),0400201,18,9,5,9
ARIZONA,Academy of Tucson Inc. (78897),0400202,46,44,45,64
ARIZONA,Mountain Rose Academy Inc. (10879),0400204,50,43,28,26
ARIZONA,Great Expectations Academy (10974),0400205,43,36,-8,36
ARIZONA,Mountain Oak Charter School Inc. (78873),0400208,21,8,7,7
ARIZONA,Park View School Inc. (10970),0400209,29,19,13,NA
ARIZONA,Painted Pony Ranch Charter School (10967),0400210,12,11,15,12
ARIZONA,Mary Ellen Halvorson Educational Foundation. dba:  (10965),0400211,8,9,8,4
ARIZONA,Benson Unified School District (79226),0400212,220,200,198,213
ARIZONA,Painted Desert Demonstration Projects Inc. (79086),0400213,21,24,21,27
ARIZONA,Little Lamb Community School (79050),0400217,29,16,17,14
ARIZONA,American Basic Schools LLC (79215),0400218,66,57,-8,68
ARIZONA,Career Success Schools (79047),0400219,48,33,29,50
