dist_id,state,schlev,agchrt,district,total_enroll,tcurelsc,current_sped_exp,sped_instructional_exp,sped_pupil_support_services_exp,sped_instructional_support_exp,sped_student_transportation_exp,sped_teacher_salaries
100005,Alabama,3,3,Albertville City,5900,63879000,3382000,2595000,398000,0,228000,1061000
100006,Alabama,3,3,Marshall County,5951,78385000,8690000,5681000,1396000,22000,628000,2133000
100007,Alabama,3,3,Hoover City,13557,193498000,22266000,15173000,5722000,4000,1323000,5723000
100008,Alabama,3,3,Madison City,12473,144376000,13681000,9107000,2604000,409000,1091000,4274000
100011,Alabama,3,3,Leeds City,2223,26499000,1814000,1154000,301000,185000,157000,564000
100012,Alabama,3,3,Boaz City,2471,30435000,1944000,1309000,367000,10000,90000,681000
100013,Alabama,3,3,Trussville City,5065,62785000,6192000,3926000,1750000,16000,499000,1949000
100030,Alabama,3,3,Alexander City,2899,37205000,2872000,2199000,424000,14000,155000,1144000
100060,Alabama,3,3,Andalusia City,1871,22609000,2291000,1892000,248000,1000,14000,952000
100090,Alabama,3,3,Anniston City,1892,29232000,2005000,1134000,465000,2000,164000,625000
100100,Alabama,3,3,Arab City,2653,30872000,2587000,2143000,289000,4000,13000,987000
100120,Alabama,3,3,Athens City,4840,55956000,3837000,2962000,363000,294000,63000,1477000
100180,Alabama,3,3,Attalla City,1538,17904000,1415000,879000,275000,0,30000,508000
100185,Alabama,3,3,Saraland City,3354,41254000,3904000,2806000,584000,53000,295000,1403000
100188,Alabama,3,3,Chickasaw City,2654,24066000,1602000,1222000,322000,15000,32000,649000
100189,Alabama,3,3,Satsuma City,1502,18643000,1594000,1231000,179000,9000,54000,547000
100190,Alabama,3,3,Alabaster City,6425,85940000,7796000,6513000,582000,7000,561000,2712000
100194,Alabama,3,3,Pelham City,3425,43958000,3093000,2027000,739000,10000,213000,1247000
100195,Alabama,3,3,Pike Road City,2695,29552000,2685000,2034000,394000,1000,97000,899000
100202,Alabama,3,3,Gulf Shores City,2450,32586000,1808000,1617000,90000,4000,0,730000
100210,Alabama,3,3,Auburn City,9492,115192000,12572000,9175000,2324000,6000,875000,4258000
100240,Alabama,3,3,Autauga County,9202,103191000,9858000,6637000,2101000,17000,762000,3126000
100270,Alabama,3,3,Baldwin County,31517,412511000,43227000,37329000,2614000,456000,2671000,15502000
100300,Alabama,3,3,Barbour County,715,13020000,692000,451000,8000,19000,32000,153000
100330,Alabama,3,3,Bessemer City,3246,50107000,2127000,920000,515000,326000,332000,261000
100360,Alabama,3,3,Bibb County,3098,42004000,4100000,3132000,631000,2000,184000,1430000
100390,Alabama,3,3,Birmingham City,21130,342319000,27824000,21027000,1981000,1748000,2546000,6644000
100420,Alabama,3,3,Blount County,7798,89377000,7405000,4946000,1513000,37000,660000,2349000
100450,Alabama,3,3,Brewton City,1224,15559000,979000,755000,28000,0,0,457000
100480,Alabama,3,3,Bullock County,1397,21271000,1765000,1118000,319000,20000,91000,632000
100510,Alabama,3,3,Butler County,2900,36742000,2969000,2120000,490000,14000,142000,947000
100540,Alabama,3,3,Calhoun County,8050,97539000,9359000,7142000,1153000,105000,734000,3267000
100600,Alabama,3,3,Chambers County,3158,41386000,4633000,3480000,689000,28000,276000,1471000
100630,Alabama,3,3,Cherokee County,3886,51213000,4472000,3106000,776000,5000,434000,1676000
100660,Alabama,3,3,Chilton County,7858,82085000,7430000,5611000,825000,0,638000,2443000
100690,Alabama,3,3,Choctaw County,1097,18540000,1382000,905000,308000,17000,29000,551000
100720,Alabama,3,3,Clarke County,2171,31227000,2889000,1993000,523000,219000,146000,1080000
100750,Alabama,3,3,Clay County,1784,21034000,2175000,1482000,388000,2000,289000,670000
100780,Alabama,3,3,Cleburne County,2507,31886000,2257000,1875000,100000,2000,116000,934000
100810,Alabama,3,3,Coffee County,2846,33476000,3120000,2708000,248000,21000,26000,974000
100840,Alabama,3,3,Colbert County,2621,39363000,4084000,3096000,467000,102000,230000,1216000
100870,Alabama,3,3,Conecuh County,1487,25371000,1602000,1082000,171000,32000,61000,441000
100900,Alabama,3,3,Coosa County,805,12282000,1314000,899000,143000,0,152000,363000
100930,Alabama,3,3,Covington County,3040,35950000,3206000,2703000,379000,1000,24000,1439000
100960,Alabama,3,3,Crenshaw County,2240,28334000,2708000,2135000,379000,10000,45000,987000
100990,Alabama,3,3,Cullman City,3226,41317000,2727000,2289000,254000,34000,82000,1175000
101020,Alabama,3,3,Cullman County,9846,116392000,11067000,8748000,1181000,105000,346000,4197000
101050,Alabama,3,3,Dale County,3270,39935000,2517000,1766000,556000,12000,58000,996000
101080,Alabama,3,3,Daleville City,1154,14210000,1402000,850000,363000,0,39000,397000
101110,Alabama,3,3,Dallas County,2488,44289000,3144000,1905000,759000,13000,188000,728000
101140,Alabama,3,3,DeKalb County,8717,109208000,8141000,5389000,1447000,4000,519000,2811000
101170,Alabama,3,3,Decatur City,8745,129710000,13667000,12019000,491000,3000,1154000,4913000
