dist_id,state,schlev,agchrt,district,total_enroll_fy20,current_sped_exp_fy20,total_enroll_fy21,current_sped_exp_fy21,total_enroll_fy22,current_sped_exp_fy22,total_enroll_fy23,current_sped_exp_fy23
0100005,Alabama,3,3,Albertville City,5824,2594000,5842,2792000,5956,3074000,5900,3382000
0100006,Alabama,3,3,Marshall County,5764,7033000,5758,7073000,5898,7877000,5951,8690000
0100007,Alabama,3,3,Hoover City,14061,17263000,13640,19592000,13606,20242000,13557,22266000
0100008,Alabama,3,3,Madison City,11695,10565000,11804,11012000,12302,11620000,12473,13681000
0100011,Alabama,3,3,Leeds City,2076,1567000,2097,1617000,2169,1698000,2223,1814000
0100012,Alabama,3,3,Boaz City,2440,1720000,2431,1705000,2448,1881000,2471,1944000
0100013,Alabama,3,3,Trussville City,4823,4619000,4816,4650000,4941,5372000,5065,6192000
0100030,Alabama,3,3,Alexander City,3036,2666000,2948,2853000,2927,2698000,2899,2872000
0100060,Alabama,3,3,Andalusia City,1839,1627000,1785,1855000,1862,2118000,1871,2291000
0100090,Alabama,3,3,Anniston City,1887,1819000,1898,2065000,1908,2127000,1892,2005000
0100100,Alabama,3,3,Arab City,2696,2240000,2609,2274000,2645,2431000,2653,2587000
0100120,Alabama,3,2,Athens City,4505,2797000,4538,2855000,4788,3589000,4840,3837000
0100180,Alabama,3,3,Attalla City,1490,1595000,1470,1296000,1523,1358000,1538,1415000
0100185,Alabama,3,3,Saraland City,3233,2952000,3146,3073000,3261,3606000,3354,3904000
0100189,Alabama,3,3,Satsuma City,1592,1144000,1511,1332000,1520,1470000,1502,1594000
0100190,Alabama,3,3,Alabaster City,6293,6613000,6187,6790000,6354,7501000,6425,7796000
0100194,Alabama,3,3,Pelham City,3383,2324000,3402,2646000,3520,3017000,3425,3093000
0100195,Alabama,3,3,Pike Road City,2228,1469000,2478,1681000,2688,2092000,2695,2685000
0100202,Alabama,3,3,Gulf Shores City,2221,1448000,2226,1499000,2338,1600000,2450,1808000
0100210,Alabama,3,3,Auburn City,8930,9632000,8971,9729000,9395,10921000,9492,12572000
0100240,Alabama,3,3,Autauga County,9120,7929000,8955,8108000,9008,9195000,9202,9858000
0100270,Alabama,3,3,Baldwin County,30602,35483000,29572,36477000,31812,38407000,31517,43227000
0100300,Alabama,3,3,Barbour County,703,800000,687,554000,737,892000,715,692000
0100360,Alabama,3,3,Bibb County,3243,3274000,3117,3551000,3076,3678000,3098,4100000
0100390,Alabama,3,3,Birmingham City,22726,22769000,21597,22157000,21328,23477000,21130,27824000
0100420,Alabama,3,3,Blount County,7653,6274000,7756,6797000,7659,7110000,7798,7405000
0100450,Alabama,3,3,Brewton City,1163,710000,1192,715000,1212,1021000,1224,979000
0100510,Alabama,3,3,Butler County,2952,2576000,2959,2755000,2927,2797000,2900,2969000
0100540,Alabama,3,3,Calhoun County,8495,8928000,8104,8722000,8118,9095000,8050,9359000
0100600,Alabama,3,3,Chambers County,3479,4237000,3386,4330000,3347,4551000,3158,4633000
0100630,Alabama,3,3,Cherokee County,3897,3660000,3833,3795000,3895,3952000,3886,4472000
0100660,Alabama,3,3,Chilton County,7831,5895000,7705,6324000,7723,7052000,7858,7430000
0100690,Alabama,3,3,Choctaw County,1242,1307000,1126,1268000,1067,1257000,1097,1382000
0100720,Alabama,3,3,Clarke County,2362,2213000,2271,2304000,2254,2853000,2171,2889000
0100750,Alabama,3,3,Clay County,1840,2012000,1804,2190000,1826,2108000,1784,2175000
0100810,Alabama,3,3,Coffee County,2467,2189000,2541,2558000,2782,2755000,2846,3120000
0100840,Alabama,3,3,Colbert County,2720,3436000,2618,3504000,2658,3522000,2621,4084000
0100870,Alabama,3,3,Conecuh County,1955,1388000,1659,1647000,1513,1538000,1487,1602000
0100900,Alabama,3,3,Coosa County,794,904000,777,1107000,788,1316000,805,1314000
0100930,Alabama,3,3,Covington County,3056,2672000,2880,2773000,2982,3042000,3040,3206000
0101020,Alabama,3,3,Cullman County,9349,9515000,9312,9786000,9704,10399000,9846,11067000
0101050,Alabama,3,3,Dale County,3259,2007000,3208,1967000,3241,2047000,3270,2517000
0101080,Alabama,3,3,Daleville City,1142,1177000,1138,1300000,1195,1374000,1154,1402000
0101110,Alabama,3,3,Dallas County,2880,3481000,2701,3197000,2648,2970000,2488,3144000
0101140,Alabama,3,3,DeKalb County,8973,6760000,8525,6710000,8622,6855000,8717,8141000
0101170,Alabama,3,3,Decatur City,8842,11688000,8781,11297000,8679,11846000,8745,13667000
0101200,Alabama,3,3,Demopolis City,2236,1688000,2132,1732000,2106,1930000,2064,2096000
0101230,Alabama,3,3,Dothan City,8701,9256000,8031,9490000,8130,9677000,8021,10789000
0101290,Alabama,3,3,Elmore County,11557,13257000,11519,13284000,11919,14063000,11971,14935000
0101320,Alabama,3,3,Enterprise City,6839,5002000,6644,5073000,6589,5483000,6651,5416000
0101350,Alabama,3,3,Escambia County,4176,3580000,4121,3557000,4150,3552000,4208,3944000
