state,district_count
Alabama,138
Alaska,51
Arkansas,234
California,813
Colorado,172
Connecticut,165
District of Columbia,1
Georgia,179
Hawaii,1
Idaho,110
Illinois,836
Iowa,326
Kentucky,172
Louisiana,74
Maine,172
Maryland,24
Mississippi,136
Missouri,482
Montana,274
Nebraska,244
Nevada,17
New Hampshire,152
New Jersey,542
New Mexico,89
North Carolina,122
North Dakota,126
Ohio,606
Oklahoma,503
Oregon,158
Rhode Island,39
South Carolina,81
South Dakota,147
Tennessee,141
Texas,1013
Utah,41
Virginia,132
Washington,269
West Virginia,55
Wyoming,48
