state,district_count
Alabama,138
Alaska,51
Arkansas,233
California,822
Colorado,176
Connecticut,166
District of Columbia,1
Florida,64
Georgia,179
Hawaii,1
Idaho,110
Indiana,285
Iowa,326
Kansas,283
Kentucky,173
Louisiana,74
Maine,169
Maryland,24
Massachusetts,291
Mississippi,137
Missouri,485
Montana,275
Nebraska,244
Nevada,18
New Hampshire,152
New Jersey,543
New Mexico,89
North Carolina,123
North Dakota,128
Ohio,610
Oklahoma,502
Oregon,154
Pennsylvania,495
Rhode Island,38
South Dakota,147
Tennessee,140
Texas,1013
Utah,41
Vermont,61
Virginia,131
Washington,276
West Virginia,53
Wisconsin,419
Wyoming,48
