dist_id,state,district,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23
0100005,Alabama,Albertville City,38510000,7605000,15581000,61696000,0,1036000,1036000,45971000,10327000,16391000,72689000,0,1255000,1255000,40744000,13132000,18810000,72686000,0,1185000,1185000,45637000,21096000,22193000,88926000,0,1106000,1106000
0100006,Alabama,Marshall County,40493000,9259000,14705000,64457000,0,1356000,1356000,42022000,13429000,14507000,69958000,10000,1155000,1165000,43630000,24404000,18369000,86403000,0,1583000,1583000,47224000,17968000,20449000,85641000,0,1415000,1415000
0100007,Alabama,Hoover City,79328000,8918000,103002000,191248000,0,2488000,2488000,81138000,12871000,103032000,197041000,0,2659000,2659000,83774000,18644000,110121000,212539000,0,2602000,2602000,88877000,11264000,122364000,222505000,0,2569000,2569000
0100008,Alabama,Madison City,74191000,7055000,53843000,135089000,0,1952000,1952000,81850000,16719000,65808000,164377000,0,2133000,2133000,81697000,14037000,77023000,172757000,0,2203000,2203000,98331000,11266000,91951000,201548000,0,2295000,2295000
0100011,Alabama,Leeds City,13082000,2474000,9492000,25048000,0,427000,427000,16157000,4404000,10091000,30652000,0,466000,466000,14696000,5158000,10864000,30718000,116000,487000,603000,17550000,3677000,11550000,32777000,73000,492000,565000
0100012,Alabama,Boaz City,16772000,2935000,7286000,26993000,0,492000,492000,17575000,4149000,7367000,29091000,0,479000,479000,17726000,6230000,8158000,32114000,0,568000,568000,22455000,4968000,11045000,38468000,0,533000,533000
0100013,Alabama,Trussville City,29655000,1556000,26574000,57785000,0,883000,883000,33229000,4173000,32505000,69907000,0,901000,901000,34667000,4946000,29739000,69352000,0,903000,903000,36713000,3398000,33391000,73502000,0,849000,849000
0100030,Alabama,Alexander City,19619000,3937000,10665000,34221000,253000,714000,967000,19707000,7904000,12116000,39727000,102000,697000,799000,20312000,9072000,12126000,41510000,0,839000,839000,22606000,9545000,16729000,48880000,0,662000,662000
0100060,Alabama,Andalusia City,11486000,2659000,6341000,20486000,0,544000,544000,11709000,3582000,6787000,22078000,0,520000,520000,14635000,4582000,6963000,26180000,15000,520000,535000,13913000,5384000,7312000,26609000,0,499000,499000
0100090,Alabama,Anniston City,12803000,4748000,7740000,25291000,0,499000,499000,12199000,6800000,8058000,27057000,0,760000,760000,13680000,8744000,8849000,31273000,0,649000,649000,16224000,14367000,10548000,41139000,0,658000,658000
0100100,Alabama,Arab City,17425000,2582000,7158000,27165000,0,563000,563000,18653000,3620000,7333000,29606000,0,581000,581000,20533000,4021000,8655000,33209000,0,599000,599000,20673000,3849000,10618000,35140000,0,653000,653000
0100120,Alabama,Athens City,27781000,3958000,29028000,60767000,0,986000,986000,30150000,6489000,28104000,64743000,0,964000,964000,32462000,7934000,45162000,85558000,0,1105000,1105000,36600000,7321000,34296000,78217000,0,976000,976000
0100180,Alabama,Attalla City,10990000,2220000,2638000,15848000,0,465000,465000,13153000,3305000,2689000,19147000,0,465000,465000,11588000,3886000,3029000,18503000,0,419000,419000,12788000,3633000,3261000,19682000,0,436000,436000
0100185,Alabama,Saraland City,20496000,2520000,13735000,36751000,0,511000,511000,23790000,3869000,14461000,42120000,0,559000,559000,23535000,5452000,14778000,43765000,0,563000,563000,25120000,4238000,17519000,46877000,0,589000,589000
0100188,Alabama,Chickasaw City,8099000,2902000,2557000,13558000,13000,274000,287000,NA,NA,NA,NA,NA,NA,NA,18181000,5189000,3769000,27139000,0,548000,548000,19049000,6640000,3854000,29543000,0,688000,688000
0100189,Alabama,Satsuma City,10051000,1351000,4370000,15772000,0,389000,389000,10688000,2120000,5095000,17903000,0,454000,454000,11058000,2313000,4822000,18193000,0,305000,305000,12330000,2467000,5700000,20497000,0,417000,417000
0100190,Alabama,Alabaster City,40712000,5536000,31275000,77523000,42000,1151000,1193000,43008000,8147000,32592000,83747000,38000,1206000,1244000,48288000,9915000,39173000,97376000,155000,1149000,1304000,47965000,12361000,42150000,102476000,107000,1230000,1337000
0100194,Alabama,Pelham City,19789000,2835000,22277000,44901000,80000,714000,794000,22753000,4400000,23488000,50641000,138000,846000,984000,23486000,6059000,26789000,56334000,0,1023000,1023000,24883000,4200000,29665000,58748000,151000,760000,911000
0100195,Alabama,Pike Road City,12964000,1873000,5504000,20341000,82000,370000,452000,15889000,2476000,6590000,24955000,0,396000,396000,19595000,1749000,8392000,29736000,0,410000,410000,22404000,1469000,11137000,35010000,0,488000,488000
0100202,Alabama,Gulf Shores City,8202000,1976000,15631000,25809000,0,378000,378000,11205000,3564000,24609000,39378000,0,503000,503000,9240000,4240000,24785000,38265000,0,479000,479000,12235000,3319000,29522000,45076000,0,476000,476000
0100210,Alabama,Auburn City,51909000,5413000,79411000,136733000,0,1513000,1513000,56220000,10270000,78296000,144786000,10000,1634000,1644000,62862000,9925000,79121000,151908000,0,1664000,1664000,66307000,9683000,82246000,158236000,0,1798000,1798000
0100240,Alabama,Autauga County,59070000,8903000,19198000,87171000,0,1981000,1981000,58793000,16308000,20897000,95998000,0,2288000,2288000,66132000,18710000,23857000,108699000,0,2154000,2154000,72335000,20576000,29546000,122457000,0,2200000,2200000
0100270,Alabama,Baldwin County,169918000,30065000,185754000,385737000,0,6295000,6295000,176455000,42447000,221697000,440599000,0,6692000,6692000,188997000,55636000,273317000,517950000,0,6718000,6718000,217222000,47940000,268654000,533816000,0,6883000,6883000
0100300,Alabama,Barbour County,5382000,1893000,2291000,9566000,0,286000,286000,4720000,3219000,2255000,10194000,0,232000,232000,4937000,5709000,2486000,13132000,0,290000,290000,6607000,9158000,2516000,18281000,0,265000,265000
0100330,Alabama,Bessemer City,21998000,7705000,13206000,42909000,0,888000,888000,NA,NA,NA,NA,NA,NA,NA,23386000,13709000,14101000,51196000,0,921000,921000,25048000,14974000,14882000,54904000,0,1113000,1113000
0100360,Alabama,Bibb County,24028000,4996000,7043000,36067000,0,893000,893000,24078000,5523000,7848000,37449000,0,858000,858000,29347000,8528000,8699000,46574000,0,1030000,1030000,26379000,10850000,9443000,46672000,0,889000,889000
0100390,Alabama,Birmingham City,138469000,48147000,120168000,306784000,0,5122000,5122000,140113000,53353000,113190000,306656000,0,6933000,6933000,152290000,83478000,118906000,354674000,0,8877000,8877000,150830000,114771000,133961000,399562000,0,6732000,6732000
0100420,Alabama,Blount County,53544000,7261000,15810000,76615000,0,1695000,1695000,56614000,12444000,15653000,84711000,0,1787000,1787000,63060000,17782000,19737000,100579000,0,1759000,1759000,61785000,18117000,21739000,101641000,0,1861000,1861000
0100450,Alabama,Brewton City,7751000,1424000,6055000,15230000,0,261000,261000,8070000,2029000,6380000,16479000,0,279000,279000,10110000,3985000,6568000,20663000,0,289000,289000,9912000,2783000,6917000,19612000,0,289000,289000
0100480,Alabama,Bullock County,10610000,2782000,2695000,16087000,0,424000,424000,NA,NA,NA,NA,NA,NA,NA,11375000,8001000,3374000,22750000,0,385000,385000,14390000,10604000,3561000,28555000,0,494000,494000
0100510,Alabama,Butler County,20103000,5472000,6818000,32393000,0,974000,974000,20152000,8301000,7286000,35739000,0,905000,905000,21563000,10007000,9691000,41261000,0,877000,877000,26049000,13076000,10276000,49401000,0,828000,828000
0100540,Alabama,Calhoun County,58182000,9277000,22983000,90442000,0,2335000,2335000,58377000,12619000,23108000,94104000,0,2232000,2232000,63598000,17784000,25496000,106878000,0,2394000,2394000,66052000,21309000,28631000,115992000,0,2159000,2159000
0100600,Alabama,Chambers County,23616000,5154000,9339000,38109000,0,849000,849000,23081000,6956000,9486000,39523000,0,931000,931000,23919000,9462000,10220000,43601000,0,879000,879000,25685000,11066000,11748000,48499000,0,872000,872000
0100630,Alabama,Cherokee County,27087000,5447000,12794000,45328000,0,1023000,1023000,26984000,8964000,12887000,48835000,0,979000,979000,28454000,9616000,14702000,52772000,0,1071000,1071000,36777000,9695000,16587000,63059000,0,1015000,1015000
0100660,Alabama,Chilton County,50658000,8833000,13644000,73135000,0,1814000,1814000,52060000,16970000,13925000,82955000,0,1967000,1967000,57672000,19844000,15971000,93487000,0,2024000,2024000,63893000,17509000,18162000,99564000,0,2080000,2080000
0100690,Alabama,Choctaw County,8084000,3021000,6251000,17356000,0,414000,414000,7717000,3995000,6810000,18522000,0,395000,395000,8171000,4322000,7352000,19845000,0,376000,376000,7690000,5994000,7891000,21575000,0,360000,360000
0100720,Alabama,Clarke County,17317000,4254000,6110000,27681000,0,698000,698000,16623000,7306000,6597000,30526000,0,716000,716000,18866000,12258000,8482000,39606000,0,754000,754000,18672000,11292000,8000000,37964000,0,705000,705000
0100750,Alabama,Clay County,13427000,2181000,4078000,19686000,13000,489000,502000,13731000,3199000,3389000,20319000,0,517000,517000,14117000,5148000,3616000,22881000,0,559000,559000,17882000,5786000,3859000,27527000,0,500000,500000
0100780,Alabama,Cleburne County,18192000,3101000,4913000,26206000,0,702000,702000,NA,NA,NA,NA,NA,NA,NA,21444000,5011000,5940000,32395000,0,776000,776000,21667000,5948000,6323000,33938000,0,705000,705000
0100810,Alabama,Coffee County,17130000,2676000,5415000,25221000,0,482000,482000,17886000,5929000,5966000,29781000,0,624000,624000,20587000,6921000,6772000,34280000,0,624000,624000,25373000,7319000,8060000,40752000,0,814000,814000
0100840,Alabama,Colbert County,16777000,4375000,11560000,32712000,0,750000,750000,17484000,6552000,12138000,36174000,0,713000,713000,18079000,7108000,13665000,38852000,0,760000,760000,20148000,7646000,14583000,42377000,0,881000,881000
0100870,Alabama,Conecuh County,14154000,3023000,3788000,20965000,0,379000,379000,13555000,3619000,3591000,20765000,0,524000,524000,15854000,4343000,5401000,25598000,0,485000,485000,15323000,7181000,5173000,27677000,0,542000,542000
0100900,Alabama,Coosa County,5550000,1555000,3284000,10389000,122000,283000,405000,5713000,1995000,3773000,11481000,162000,271000,433000,5618000,4663000,5301000,15582000,136000,306000,442000,8141000,2953000,3775000,14869000,147000,285000,432000
0100930,Alabama,Covington County,21687000,3479000,9176000,34342000,0,771000,771000,21153000,5582000,8961000,35696000,0,765000,765000,22782000,7565000,11028000,41375000,0,806000,806000,27729000,8172000,11677000,47578000,0,802000,802000
0100960,Alabama,Crenshaw County,15116000,3658000,5357000,24131000,0,528000,528000,NA,NA,NA,NA,NA,NA,NA,17279000,6283000,5931000,29493000,0,565000,565000,19691000,7096000,6486000,33273000,0,516000,516000
0100990,Alabama,Cullman City,17975000,4573000,14518000,37066000,0,685000,685000,NA,NA,NA,NA,NA,NA,NA,22969000,6662000,17360000,46991000,0,779000,779000,22838000,6248000,20461000,49547000,0,759000,759000
0101020,Alabama,Cullman County,64460000,13160000,28331000,105951000,0,2062000,2062000,65017000,16507000,44089000,125613000,0,2141000,2141000,73957000,26891000,33843000,134691000,0,2181000,2181000,84492000,19122000,47700000,151314000,0,2222000,2222000
0101050,Alabama,Dale County,24004000,3506000,8323000,35833000,0,745000,745000,24398000,6131000,8218000,38747000,0,785000,785000,27511000,5972000,9487000,42970000,0,789000,789000,28246000,6921000,10202000,45369000,0,803000,803000
0101080,Alabama,Daleville City,7599000,1891000,2418000,11908000,0,314000,314000,8057000,3076000,2411000,13544000,0,329000,329000,9630000,4695000,2415000,16740000,0,324000,324000,9833000,3999000,3077000,16909000,0,356000,356000
0101110,Alabama,Dallas County,24012000,7292000,6897000,38201000,0,995000,995000,23632000,9683000,5810000,39125000,0,1010000,1010000,23993000,11649000,6610000,42252000,0,815000,815000,25187000,22412000,7111000,54710000,0,798000,798000
