dist_id,state,district,schlev,agchrt,total_enroll,totalrev,tfedrev,tstrev,tlocrev,state_sped_rev,federal_sped_rev,state_fed_sped_rev,c11,u11,v92,state_rev_adjusted,local_rev_adjusted,state_local_rev_adjusted,state_local_federal_rev_adjusted,rev_state_pct,rev_local_pct,rev_federal_pct,v92_state,v92_local,v92_federal,state_rev_v92_adjusted,local_rev_v92_adjusted,federal_rev_v92_adjusted,state_local_federal_rev_v92_adjusted,year
100005,Alabama,Albertville City,3,3,5824,63333000,7605000,40121000,15607000,0,1036000,1036000,1611000,26000,0,38510000,15581000,54091000,61696000,0.6241895746887967,0.25254473547717843,0.1232656898340249,0,0,0,38510000,15581000,7605000,61696000,2020
100006,Alabama,Marshall County,3,3,5764,66333000,9259000,42131000,14943000,0,1356000,1356000,1638000,238000,0,40493000,14705000,55198000,64457000,0.6282172611198164,0.22813658718215243,0.14364615169803124,0,0,0,40493000,14705000,9259000,64457000,2020
100007,Alabama,Hoover City,3,3,14061,196210000,8918000,82689000,104603000,0,2488000,2488000,3361000,1601000,0,79328000,103002000,182330000,191248000,0.41479126579101483,0.5385781812097381,0.04663055299924705,0,0,0,79328000,103002000,8918000,191248000,2020
100008,Alabama,Madison City,3,3,11695,139137000,7055000,77294000,54788000,0,1952000,1952000,3103000,945000,0,74191000,53843000,128034000,135089000,0.5492008971862994,0.3985742732568899,0.052224829556810695,0,0,0,74191000,53843000,7055000,135089000,2020
100011,Alabama,Leeds City,3,3,2076,25777000,2474000,13591000,9712000,0,427000,427000,509000,220000,0,13082000,9492000,22574000,25048000,0.5222772277227723,0.3789524113701693,0.09877036090705844,0,0,0,13082000,9492000,2474000,25048000,2020
100012,Alabama,Boaz City,3,3,2440,27901000,2935000,17461000,7505000,0,492000,492000,689000,219000,0,16772000,7286000,24058000,26993000,0.6213462749601748,0.2699218315859667,0.1087318934538584,0,0,0,16772000,7286000,2935000,26993000,2020
100013,Alabama,Trussville City,3,3,4823,59176000,1556000,30915000,26705000,0,883000,883000,1260000,131000,0,29655000,26574000,56229000,57785000,0.5131954659513714,0.45987713074327247,0.026927403305356062,0,0,0,29655000,26574000,1556000,57785000,2020
100030,Alabama,Alexander City,3,3,3036,35192000,3937000,20416000,10839000,253000,714000,967000,797000,174000,0,19619000,10665000,30284000,34221000,0.5733029426375618,0.3116507407732094,0.11504631658922884,0,0,0,19619000,10665000,3937000,34221000,2020
100060,Alabama,Andalusia City,3,3,1839,21046000,2659000,12036000,6351000,0,544000,544000,550000,10000,0,11486000,6341000,17827000,20486000,0.5606755833251977,0.3095284584594357,0.1297959582153666,0,0,0,11486000,6341000,2659000,20486000,2020
100090,Alabama,Anniston City,3,3,1887,25748000,4748000,13238000,7762000,0,499000,499000,435000,22000,0,12803000,7740000,20543000,25291000,0.5062275117630778,0.3060377209283935,0.18773476730852873,0,0,0,12803000,7740000,4748000,25291000,2020
