dist_id,state,district,total_enroll,tcurelsc,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,state_rev_v92_adjusted,federal_rev_v92_adjusted,sped_enroll,sped_exp_pp,state_sped_rev_pp,federal_sped_rev_pp,state_fed_sped_rev_pp,sped_local_pp_obligation,state_sped_pct,federal_sped_pct,local_sped_pct,state_rev_no_sped,federal_rev_no_sped,current_exp_no_sped,state_no_sped_pct,federal_no_sped_pct,local_no_sped_pct,disproportionate,fy,cpi_multiplier,tcurelsc_adjusted,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,state_rev_v92_adjusted_real,federal_rev_v92_adjusted_real,sped_exp_pp_adjusted,state_sped_rev_pp_adjusted,federal_sped_rev_pp_adjusted,state_fed_sped_rev_pp_adjusted,sped_local_pp_obligation_adjusted
0100005,Alabama,Albertville City,5824,50454000,2594000,0,1036000,1036000,38510000,7605000,455,5701.0989010989015,0,2276.923076923077,2276.923076923077,3424.1758241758243,0,0.39938319198149574,0.6006168080185043,38510000,6569000,47860000,0.8046385290430422,0.13725449226911826,0.05810697868783951,TRUE,fy20,1.1650487890214984,58781371.60129068,3022136.558721767,0,1206990.5454262723,1206990.5454262723,44866028.8652179,8860196.040508496,6642.05837081707,0,2652.726473464335,2652.726473464335,3989.331897352735
0100006,Alabama,Marshall County,5764,61190000,7033000,0,1356000,1356000,40493000,9259000,848,8293.632075471698,0,1599.0566037735848,1599.0566037735848,6694.575471698114,0,0.1928053462249396,0.8071946537750604,40493000,7903000,54157000,0.7476965119929095,0.1459275809221338,0.10637590708495669,TRUE,fy20,1.1650487890214984,71289335.40022549,8193788.133188198,0,1579806.157913152,1579806.157913152,47176320.61384754,10787186.737550054,9662.486006118159,0,1862.978959803245,1862.978959803245,7799.507046314914
0100007,Alabama,Hoover City,14061,161809000,17263000,0,2488000,2488000,79328000,8918000,1333,12950.487621905477,0,1866.4666166541635,1866.4666166541635,11084.021005251314,0,0.14412326942014714,0.8558767305798529,79328000,6430000,144546000,0.5488079919195273,0.04448410886499799,0.4067078992154747,TRUE,fy20,1.1650487890214984,188515379.50277963,20112237.24487813,0,2898641.387085488,2898641.387085488,92420990.33549742,10389905.100493724,15087.949921138881,0,2174.5246714819864,2174.5246714819864,12913.425249656895
0100008,Alabama,Madison City,11695,114802000,10565000,0,1952000,1952000,74191000,7055000,1385,7628.158844765343,0,1409.3862815884477,1409.3862815884477,6218.772563176895,0,0.18476100331282536,0.8152389966871747,74191000,5103000,104237000,0.7117530243579535,0.04895574508092136,0.2392912305611251,TRUE,fy20,1.1650487890214984,133749931.07724607,12308740.456012132,0,2274175.236169965,2274175.236169965,86436134.70629399,8219419.206546672,8887.177224557496,0,1642.0037806281337,1642.0037806281337,7245.173443929362
0100011,Alabama,Leeds City,2076,20534000,1567000,0,427000,427000,13082000,2474000,287,5459.93031358885,0,1487.8048780487804,1487.8048780487804,3972.1254355400697,0,0.2724952137843012,0.7275047862156988,13082000,2047000,18967000,0.6897242579216534,0.10792428955554384,0.2023514525228028,TRUE,fy20,1.1650487890214984,23923111.833767448,1825631.452396688,0,497475.8329121798,497475.8329121798,15241168.257979242,2882330.704039187,6361.08519998846,0,1733.36527147101,1733.36527147101,4627.71992851745
0100012,Alabama,Boaz City,2440,24770000,1720000,0,492000,492000,16772000,2935000,200,8600,0,2460,2460,6140,0,0.28604651162790695,0.713953488372093,16772000,2443000,23050000,0.7276355748373102,0.10598698481561822,0.16637744034707155,TRUE,fy20,1.1650487890214984,28858258.504062515,2003883.9171169773,0,573204.0041985773,573204.0041985773,19540198.28946857,3419418.195778098,10019.419585584887,0,2866.020020992886,2866.020020992886,7153.399564592
0100013,Alabama,Trussville City,4823,49070000,4619000,0,883000,883000,29655000,1556000,455,10151.648351648351,0,1940.6593406593408,1940.6593406593408,8210.989010989011,0,0.19116691924659016,0.8088330807534099,29655000,673000,44451000,0.667139096983195,0.01514026681064543,0.3177206362061596,TRUE,fy20,1.1650487890214984,57168944.07728493,5381360.356490301,0,1028738.0807059831,1028738.0807059831,34549521.838432536,1812815.9157174516,11827.165618660003,0,2260.962814738424,2260.962814738424,9566.202803921578
0100030,Alabama,Alexander City,3036,29405000,2666000,253000,714000,967000,19619000,3937000,468,5696.581196581196,540.5982905982906,1525.6410256410256,2066.2393162393164,3630.34188034188,0.09489872468117028,0.2678169542385596,0.6372843210802701,19366000,3223000,26739000,0.7242604435468791,0.12053554732787314,0.15520400912524773,TRUE,fy20,1.1650487890214984,34258259.64117716,3106020.071531315,294757.34362243913,831844.8353613499,1126602.178983789,22857092.19181278,4586797.08237764,6636.795024639561,629.8233838086306,1777.4462294045936,2407.269613213224,4229.525411426337
0100060,Alabama,Andalusia City,1839,16944000,1627000,0,544000,544000,11486000,2659000,279,5831.541218637993,0,1949.820788530466,1949.820788530466,3881.7204301075262,0,0.3343577135832821,0.665642286416718,11486000,2115000,15317000,0.7498857478618528,0.13808186981784945,0.11203238232029776,TRUE,fy20,1.1650487890214984,19740586.68118027,1895534.3797379779,0,633786.5412276952,633786.5412276952,13381750.39070093,3097864.7300081644,6794.030034903147,0,2271.6363484863627,2271.6363484863627,4522.3936864167845
0100090,Alabama,Anniston City,1887,22636000,1819000,0,499000,499000,12803000,4748000,229,7943.231441048035,0,2179.039301310044,2179.039301310044,5764.192139737991,0,0.274326553051127,0.725673446948873,12803000,4249000,20817000,0.615026180525532,0.20411202382668012,0.18086179564778784,TRUE,fy20,1.1650487890214984,26372044.38829064,2119223.7472301056,0,581359.3457217277,581359.3457217277,14916119.645842245,5531651.650274075,9254.252171310505,0,2538.6870992215186,2538.6870992215186,6715.565072088986
