dist_id,state,district,total_enroll,tcurelsc,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,state_rev_v92_adjusted,federal_rev_v92_adjusted,sped_enroll,sped_exp_pp,state_sped_rev_pp,federal_sped_rev_pp,state_fed_sped_rev_pp,sped_local_pp_obligation,state_sped_pct,federal_sped_pct,local_sped_pct,state_rev_no_sped,federal_rev_no_sped,current_exp_no_sped,state_no_sped_pct,federal_no_sped_pct,local_no_sped_pct,disproportionate,fy
0100005,Alabama,Albertville City,5824,50454000,2594000,0,1036000,1036000,38510000,7605000,455,5701.0989010989015,0,2276.923076923077,2276.923076923077,3424.1758241758243,0,0.39938319198149574,0.6006168080185043,38510000,6569000,47860000,0.8046385290430422,0.13725449226911826,0.05810697868783951,TRUE,fy20
0100006,Alabama,Marshall County,5764,61190000,7033000,0,1356000,1356000,40493000,9259000,848,8293.632075471698,0,1599.0566037735848,1599.0566037735848,6694.575471698114,0,0.19280534622493958,0.8071946537750604,40493000,7903000,54157000,0.7476965119929095,0.1459275809221338,0.10637590708495667,TRUE,fy20
0100007,Alabama,Hoover City,14061,161809000,17263000,0,2488000,2488000,79328000,8918000,1333,12950.487621905477,0,1866.4666166541635,1866.4666166541635,11084.021005251314,0,0.14412326942014714,0.8558767305798529,79328000,6430000,144546000,0.5488079919195273,0.04448410886499799,0.4067078992154747,TRUE,fy20
0100008,Alabama,Madison City,11695,114802000,10565000,0,1952000,1952000,74191000,7055000,1385,7628.158844765343,0,1409.3862815884477,1409.3862815884477,6218.772563176895,0,0.18476100331282536,0.8152389966871747,74191000,5103000,104237000,0.7117530243579535,0.04895574508092136,0.2392912305611251,TRUE,fy20
0100011,Alabama,Leeds City,2076,20534000,1567000,0,427000,427000,13082000,2474000,287,5459.93031358885,0,1487.8048780487804,1487.8048780487804,3972.1254355400697,0,0.2724952137843012,0.7275047862156988,13082000,2047000,18967000,0.6897242579216534,0.10792428955554384,0.2023514525228028,TRUE,fy20
0100012,Alabama,Boaz City,2440,24770000,1720000,0,492000,492000,16772000,2935000,200,8600,0,2460,2460,6140,0,0.28604651162790695,0.713953488372093,16772000,2443000,23050000,0.7276355748373102,0.10598698481561822,0.16637744034707155,TRUE,fy20
0100013,Alabama,Trussville City,4823,49070000,4619000,0,883000,883000,29655000,1556000,455,10151.648351648351,0,1940.6593406593406,1940.6593406593406,8210.989010989011,0,0.19116691924659018,0.8088330807534099,29655000,673000,44451000,0.667139096983195,0.01514026681064543,0.3177206362061596,TRUE,fy20
0100030,Alabama,Alexander City,3036,29405000,2666000,253000,714000,967000,19619000,3937000,468,5696.581196581196,540.5982905982906,1525.6410256410256,2066.2393162393164,3630.34188034188,0.09489872468117029,0.2678169542385596,0.6372843210802701,19366000,3223000,26739000,0.7242604435468791,0.12053554732787314,0.15520400912524773,TRUE,fy20
0100060,Alabama,Andalusia City,1839,16944000,1627000,0,544000,544000,11486000,2659000,279,5831.541218637993,0,1949.820788530466,1949.820788530466,3881.7204301075267,0,0.3343577135832821,0.665642286416718,11486000,2115000,15317000,0.7498857478618528,0.13808186981784945,0.11203238232029775,TRUE,fy20
0100090,Alabama,Anniston City,1887,22636000,1819000,0,499000,499000,12803000,4748000,229,7943.231441048035,0,2179.039301310044,2179.039301310044,5764.192139737991,0,0.274326553051127,0.725673446948873,12803000,4249000,20817000,0.615026180525532,0.20411202382668012,0.18086179564778784,TRUE,fy20
0100100,Alabama,Arab City,2696,26148000,2240000,0,563000,563000,17425000,2582000,280,8000,0,2010.7142857142858,2010.7142857142858,5989.285714285714,0,0.2513392857142857,0.7486607142857142,17425000,2019000,23908000,0.728835536222185,0.08444872009369249,0.18671574368412253,TRUE,fy20
0100120,Alabama,Athens City,4505,46353000,2797000,0,986000,986000,27781000,3958000,551,5076.225045372051,0,1789.4736842105262,1789.4736842105262,3286.7513611615245,0,0.35252055774043617,0.6474794422595638,27781000,2972000,43556000,0.6378225732390486,0.06823399761226927,0.29394342914868216,TRUE,fy20
0100180,Alabama,Attalla City,1490,15205000,1595000,0,465000,465000,10990000,2220000,177,9011.299435028248,0,2627.1186440677966,2627.1186440677966,6384.180790960451,0,0.29153605015673983,0.7084639498432601,10990000,1755000,13610000,0.807494489346069,0.12894930198383542,0.06355620867009554,TRUE,fy20
0100185,Alabama,Saraland City,3233,31123000,2952000,0,511000,511000,20496000,2520000,355,8315.492957746479,0,1439.4366197183099,1439.4366197183099,6876.056338028169,0,0.1731029810298103,0.8268970189701896,20496000,2009000,28171000,0.7275567072521387,0.07131447232970076,0.20112882041816052,TRUE,fy20
0100188,Alabama,Chickasaw City,1514,12725000,1294000,13000,274000,287000,8099000,2902000,227,5700.440528634361,57.268722466960355,1207.0484581497797,1264.3171806167402,4436.123348017621,0.010046367851622875,0.2117465224111283,0.7782071097372489,8086000,2628000,11431000,0.707374682879888,0.22990114600647363,0.06272417111363834,TRUE,fy20
0100189,Alabama,Satsuma City,1592,14887000,1144000,0,389000,389000,10051000,1351000,177,6463.276836158192,0,2197.74011299435,2197.74011299435,4265.536723163842,0,0.34003496503496505,0.659965034965035,10051000,962000,13743000,0.7313541439278178,0.0699992723568362,0.19864658371534596,TRUE,fy20
0100190,Alabama,Alabaster City,6293,65622000,6613000,42000,1151000,1193000,40712000,5536000,670,9870.149253731342,62.6865671641791,1717.910447761194,1780.597014925373,8089.552238805969,0.0063511265688794795,0.17405111144714955,0.8195977619839709,40670000,4385000,59009000,0.6892168991170838,0.07431069836804555,0.23647240251487062,TRUE,fy20
0100194,Alabama,Pelham City,3383,33608000,2324000,80000,714000,794000,19789000,2835000,334,6958.083832335329,239.52095808383234,2137.7245508982037,2377.245508982036,4580.838323353293,0.03442340791738382,0.3072289156626506,0.6583476764199656,19709000,2121000,31284000,0.6300025572177471,0.0677982355197545,0.3021992072624984,TRUE,fy20
0100195,Alabama,Pike Road City,2228,18511000,1469000,82000,370000,452000,12964000,1873000,188,7813.829787234043,436.17021276595744,1968.0851063829787,2404.255319148936,5409.574468085107,0.055820285908781485,0.2518720217835262,0.6923076923076923,12882000,1503000,17042000,0.7558971951648867,0.08819387395845558,0.1559089308766577,TRUE,fy20
0100202,Alabama,Gulf Shores City,2221,21730000,1448000,0,378000,378000,8202000,1976000,223,6493.273542600897,0,1695.067264573991,1695.067264573991,4798.206278026906,0,0.2610497237569061,0.738950276243094,8202000,1598000,20282000,0.40439798836406665,0.07878907405581304,0.5168129375801203,TRUE,fy20
0100210,Alabama,Auburn City,8930,89479000,9632000,0,1513000,1513000,51909000,5413000,989,9739.130434782608,0,1529.8281092012132,1529.8281092012132,8209.302325581395,0,0.15708056478405316,0.8429194352159468,51909000,3900000,79847000,0.6501058273948928,0.048843413027414934,0.30105075957769234,TRUE,fy20
0100240,Alabama,Autauga County,9120,79114000,7929000,0,1981000,1981000,59070000,8903000,1067,7431.115276476101,0,1856.6073102155576,1856.6073102155576,5574.507966260543,0,0.24984235086391726,0.7501576491360827,59070000,6922000,71185000,0.8298096509096018,0.0972395869916415,0.07295076209875671,TRUE,fy20
0100270,Alabama,Baldwin County,30602,327491000,35483000,0,6295000,6295000,169918000,30065000,4670,7598.072805139186,0,1347.96573875803,1347.96573875803,6250.107066381156,0,0.17740890003663726,0.8225910999633628,169918000,23770000,292008000,0.5818950165748884,0.08140187940056437,0.33670310402454723,TRUE,fy20
0100300,Alabama,Barbour County,703,9091000,800000,0,286000,286000,5382000,1893000,87,9195.402298850575,0,3287.3563218390805,3287.3563218390805,5908.045977011494,0,0.3575,0.6425000000000001,5382000,1607000,8291000,0.6491376191050536,0.1938246291159088,0.15703775177903756,TRUE,fy20
0100330,Alabama,Bessemer City,3524,38326000,2728000,0,888000,888000,21998000,7705000,410,6653.658536585366,0,2165.8536585365855,2165.8536585365855,4487.804878048781,0,0.3255131964809384,0.6744868035190617,21998000,6817000,35598000,0.6179560649474689,0.19149952244508117,0.19054441260744992,TRUE,fy20
