dist_id,state,schlev,agchrt,district,total_enroll_fy20,current_sped_exp_fy20,total_enroll_fy21,current_sped_exp_fy21,total_enroll_fy22,current_sped_exp_fy22,total_enroll_fy23,current_sped_exp_fy23,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23,state_sped_rev_fy20_adjusted,federal_sped_rev_fy20_adjusted,state_fed_sped_rev_fy20_adjusted,current_sped_exp_fy20_adjusted,state_sped_rev_fy21_adjusted,federal_sped_rev_fy21_adjusted,state_fed_sped_rev_fy21_adjusted,current_sped_exp_fy21_adjusted,state_sped_rev_fy22_adjusted,federal_sped_rev_fy22_adjusted,state_fed_sped_rev_fy22_adjusted,current_sped_exp_fy22_adjusted
0100005,Alabama,3,3,Albertville City,5824,2594000,5842,2792000,5956,3074000,5900,3382000,38510000,7605000,15581000,61696000,0,1036000,1036000,45971000,10327000,16391000,72689000,0,1255000,1255000,40744000,13132000,18810000,72686000,0,1185000,1185000,45637000,21096000,22193000,88926000,0,1106000,1106000,455,452,465,491,0,1206990.764,1206990.764,3022137.106,0,1429240.435,1429240.435,3179632.904,0,1259204.7,1259204.7,3266493.88
0100006,Alabama,3,3,Marshall County,5764,7033000,5758,7073000,5898,7877000,5951,8690000,40493000,9259000,14705000,64457000,0,1356000,1356000,42022000,13429000,14507000,69958000,10000,1155000,1165000,43630000,24404000,18369000,86403000,0,1583000,1583000,47224000,17968000,20449000,85641000,0,1415000,1415000,848,811,776,724,0,1579806.444,1579806.444,8193789.617,11388.37,1315356.735,1326745.1050000002,8054994.101000001,0,1682127.4599999997,1682127.4599999997,8370257.739999999
0100007,Alabama,3,3,Hoover City,14061,17263000,13640,19592000,13606,20242000,13557,22266000,79328000,8918000,103002000,191248000,0,2488000,2488000,81138000,12871000,103032000,197041000,0,2659000,2659000,83774000,18644000,110121000,212539000,0,2602000,2602000,88877000,11264000,122364000,222505000,0,2569000,2569000,1333,1241,1263,1319,0,2898641.912,2898641.912,20112240.887,0,3028167.583,3028167.583,22312094.504,0,2764937.2399999998,2764937.2399999998,21509554.04
0100008,Alabama,3,3,Madison City,11695,10565000,11804,11012000,12302,11620000,12473,13681000,74191000,7055000,53843000,135089000,0,1952000,1952000,81850000,16719000,65808000,164377000,0,2133000,2133000,81697000,14037000,77023000,172757000,0,2203000,2203000,98331000,11266000,91951000,201548000,0,2295000,2295000,1385,1287,1301,1317,0,2274175.648,2274175.648,12308742.685,0,2429139.321,2429139.321,12540873.044000002,0,2340951.86,2340951.86,12347644.399999999
0100011,Alabama,3,3,Leeds City,2076,1567000,2097,1617000,2169,1698000,2223,1814000,13082000,2474000,9492000,25048000,0,427000,427000,16157000,4404000,10091000,30652000,0,466000,466000,14696000,5158000,10864000,30718000,116000,487000,603000,17550000,3677000,11550000,32777000,73000,492000,565000,287,284,304,314,0,497475.923,497475.923,1825631.783,0,530698.042,530698.042,1841499.4290000002,123263.91999999998,517495.93999999994,640759.86,1804328.7599999998
0100012,Alabama,3,3,Boaz City,2440,1720000,2431,1705000,2448,1881000,2471,1944000,16772000,2935000,7286000,26993000,0,492000,492000,17575000,4149000,7367000,29091000,0,479000,479000,17726000,6230000,8158000,32114000,0,568000,568000,22455000,4968000,11045000,38468000,0,533000,533000,200,184,192,223,0,573204.108,573204.108,2003884.28,0,545502.9230000001,545502.9230000001,1941717.0850000002,0,603568.1599999999,603568.1599999999,1998788.2199999997
0100013,Alabama,3,3,Trussville City,4823,4619000,4816,4650000,4941,5372000,5065,6192000,29655000,1556000,26574000,57785000,0,883000,883000,33229000,4173000,32505000,69907000,0,901000,901000,34667000,4946000,29739000,69352000,0,903000,903000,36713000,3398000,33391000,73502000,0,849000,849000,455,443,446,453,0,1028738.267,1028738.267,5381361.331,0,1026092.1370000001,1026092.1370000001,5295592.050000001,0,959545.8599999999,959545.8599999999,5708394.64
0100030,Alabama,3,3,Alexander City,3036,2666000,2948,2853000,2927,2698000,2899,2872000,19619000,3937000,10665000,34221000,253000,714000,967000,19707000,7904000,12116000,39727000,102000,697000,799000,20312000,9072000,12126000,41510000,0,839000,839000,22606000,9545000,16729000,48880000,0,662000,662000,468,395,-8,309,294757.397,831844.986,1126602.383,3106020.634,116161.37400000001,793769.3890000001,909930.763,3249101.961,0,891538.1799999999,891538.1799999999,2866948.76
0100060,Alabama,3,3,Andalusia City,1839,1627000,1785,1855000,1862,2118000,1871,2291000,11486000,2659000,6341000,20486000,0,544000,544000,11709000,3582000,6787000,22078000,0,520000,520000,14635000,4582000,6963000,26180000,15000,520000,535000,13913000,5384000,7312000,26609000,0,499000,499000,279,276,301,306,0,633786.656,633786.656,1895534.723,0,592195.2400000001,592195.2400000001,2112542.6350000002,15939.3,552562.3999999999,568501.7,2250629.1599999997
0100090,Alabama,3,3,Anniston City,1887,1819000,1898,2065000,1908,2127000,1892,2005000,12803000,4748000,7740000,25291000,0,499000,499000,12199000,6800000,8058000,27057000,0,760000,760000,13680000,8744000,8849000,31273000,0,649000,649000,16224000,14367000,10548000,41139000,0,658000,658000,229,206,213,196,0,581359.451,581359.451,2119224.131,0,865516.1200000001,865516.1200000001,2351698.4050000003,0,689640.3799999999,689640.3799999999,2260192.7399999998
