fy,state,n_districts,sped_enroll,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,n_disproportionate,total_sped_pp_expenditure,state_fed_sped_pp_funding,local_sped_pp_obligation,total_sped_pp_expenditure_adjusted,state_fed_sped_pp_funding_adjusted,local_sped_pp_obligation_adjusted,pct_disproportionate
fy20,Alabama,138,95318,760321000,1133000,174955000,176088000,885811060.3176144,1320000.2779613577,203831110.8832564,205151111.16121772,138,7976.678067101701,1847.374053169391,6129.30401393231,9293.219122491182,2152.280903514737,7140.938218976446,1
fy20,Arkansas,234,65332,453798000,294368000,120794000,415162000,528696810.36037815,342953081.9266805,140730903.4210629,483683985.34774333,34,6946.029510806343,6354.6500948998955,591.3794159064473,8092.463270072524,7403.477397718474,688.9858723540501,0.1452991452991453
fy20,California,808,702690,10886839000,1855449000,1338797000,3194246000,12683698593.222006,2161688610.5411496,1559763823.5956173,3721452434.1367664,769,15493.0894135394,4545.739942222032,10947.349471317368,18050.205059445852,5296.008814892437,12754.196244553415,0.9517326732673267
fy20,Connecticut,165,83533,2071119000,507878000,123030000,630908000,2412954682.8694158,591702648.8706608,143335952.51331508,735038601.3839761,150,24794.021524427473,7552.799492416171,17241.2220320113,28886.24475200718,8799.379902361654,20086.864849645528,0.9090909090909091
fy20,Georgia,179,220973,2489238000,1571475000,327198000,1898673000,2900083717.4862967,1830845045.7275598,381201633.6702564,2212046679.3978148,12,11264.896616328691,8592.330284695416,2672.5663316332757,13124.154161306118,10010.483993057138,3113.67016824898,0.0670391061452514
fy20,Idaho,110,33632,279031000,3884000,52712000,56596000,325084728.6494578,4525049.496559499,61412051.766901255,65937101.26346075,110,8296.59253092293,1682.802093244529,6613.790437678401,9665.935081156571,1960.5465408973819,7705.3885402591895,1
fy20,Iowa,326,69653,900416000,3638000,32296000,35934000,1049028570.4155807,4238447.49446021,37626415.69023832,41864863.184698515,326,12927.167530472485,515.9002483740829,12411.267282098403,15060.780876854991,601.0489596241155,14459.731917230876,1
fy20,Maine,172,31457,496245000,4529000,45570000,50099000,578149636.3079734,5276505.965478368,53091273.315709695,58367779.28118807,169,15775.344120545507,1592.6184950885336,14182.725625456973,18379.045564038955,1855.478249076138,16523.567314962816,0.9825581395348837
fy20,Maryland,24,112799,1993739000,414611000,198677000,613288000,2322803207.5749335,483042043.46499246,231468398.2564242,714510441.7214167,24,17675.147829324727,5436.998554951729,12238.149274372998,20592.409574330744,6334.368582358148,14258.040991972597,1
fy20,Mississippi,136,68358,359716000,4681000,116053000,120734000,419086690.1916576,5453593.381409632,135207407.11231205,140661000.49372166,135,5262.237046139442,1766.201468738114,3496.035577401328,6130.762898148828,2057.710882321333,4073.052015827495,0.9926470588235294
fy20,Missouri,482,116864,1150315000,180870000,145739000,326609000,1340173097.7432647,210722374.47031862,169793045.4632042,380515419.93352246,448,9843.193797918948,2794.7785460021905,7048.415251916757,11467.801014369392,3256.0533606031154,8211.747653766277,0.9294605809128631
fy20,Montana,274,19287,168079000,38727000,24801000,63528000,195820235.40994453,45118844.45243556,28894375.01652218,74013219.46895777,246,8714.62643231192,3293.824856120703,5420.801576191217,10152.964971739748,3837.466659872337,6315.498311867411,0.8978102189781022
fy20,Nebraska,244,52774,578903000,226439000,59549000,285988000,674450239.1109124,263812482.73723912,69377490.33744122,333189973.07468045,35,10969.473604426423,5419.1078940387315,5550.365710387691,12779.971939040293,6313.525089526669,6466.446849513624,0.14344262295081966
fy20,Nevada,17,58057,644586000,206724000,67783000,274507000,750974138.7202115,240843545.86168024,78970502.06624421,319814047.9279245,5,11102.640508465818,4728.232598997537,6374.407909468281,12935.117879329133,5508.621663674054,7426.496215655079,0.29411764705882354
fy20,New Jersey,542,231222,3883617000,1188916000,331921000,1520837000,4524603282.873307,1385145146.0482845,386704159.10080445,1771849305.1490872,267,16796.053143732,6577.388829782633,10218.664313949364,19568.221375445708,7662.978891061782,11905.242484383925,0.492619926199262
fy20,North Dakota,126,15515,197919000,7590000,18869000,26459000,230585291.27434608,8842720.308673175,21983305.60004665,30826025.908719823,124,12756.622623267805,1705.381888495005,11051.2407347728,14862.087739242415,1986.8531040103012,12875.234635232115,0.9841269841269841
fy20,South Dakota,147,22062,231001000,63413000,34348000,97761000,269127435.3127552,73879238.85822025,40017095.80531043,113896334.66353068,139,10470.5375759224,4431.193908077237,6039.3436678451635,12198.687123232492,5162.557096524824,7036.130026707668,0.9455782312925171
fy20,Utah,41,76953,493224000,350132000,102582000,452714000,574630023.9163395,407920862.59767526,119513034.87540343,527433897.4730786,4,6409.418736111653,5882.993515522462,526.4252205891908,7467.2855368385835,6853.974471080772,613.3110657578118,0.0975609756097561
fy20,Virginia,132,179081,2628578000,525262000,266097000,791359000,3062421615.7485514,611955857.0190102,310015987.6122537,921971844.6312634,125,14678.15122765676,4419.000340627984,10259.150887028776,17100.76231285592,5148.350995534219,11952.411317321701,0.946969696969697
