fy,state,n_districts,sped_enroll,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,n_disproportionate,total_sped_pp_expenditure,state_sped_pp_funding,federal_sped_pp_funding,state_fed_sped_pp_funding,local_sped_pp_obligation,pct_disproportionate
fy20,Alabama,138,95318,760321000,1133000,174955000,176088000,138,7976.678067101701,11.886527203676115,1835.4875259657147,1847.374053169391,6129.30401393231,1
fy20,Arkansas,234,65332,453798000,294368000,120794000,415162000,34,6946.029510806343,4505.724606624625,1848.925488275271,6354.6500948998955,591.3794159064473,0.1452991452991453
fy20,California,808,702690,10886839000,1855449000,1338797000,3194246000,769,15493.0894135394,2640.4943858600523,1905.2455563619803,4545.739942222032,10947.349471317368,0.9517326732673267
fy20,Connecticut,165,83533,2071119000,507878000,123030000,630908000,150,24794.021524427473,6079.968395723846,1472.8310966923252,7552.799492416171,17241.2220320113,0.9090909090909091
fy20,Georgia,179,220973,2489238000,1571475000,327198000,1898673000,12,11264.896616328691,7111.615446230988,1480.7148384644279,8592.330284695416,2672.5663316332757,0.0670391061452514
fy20,Idaho,110,33632,279031000,3884000,52712000,56596000,110,8296.59253092293,115.48525214081828,1567.3168411037107,1682.802093244529,6613.790437678401,1
fy20,Iowa,326,69653,900416000,3638000,32296000,35934000,326,12927.167530472485,52.23034183739394,463.66990653668904,515.9002483740829,12411.267282098403,1
fy20,Maine,172,31457,496245000,4529000,45570000,50099000,169,15775.344120545507,143.974314143116,1448.6441809454175,1592.6184950885336,14182.725625456973,0.9825581395348837
fy20,Maryland,24,112799,1993739000,414611000,198677000,613288000,24,17675.147829324727,3675.662018280304,1761.3365366714245,5436.998554951729,12238.149274372998,1
fy20,Mississippi,136,68358,359716000,4681000,116053000,120734000,135,5262.237046139442,68.47772023757278,1697.7237485005412,1766.201468738114,3496.035577401328,0.9926470588235294
fy20,Missouri,482,116864,1150315000,180870000,145739000,326609000,448,9843.193797918948,1547.6964676889377,1247.082078313253,2794.7785460021905,7048.415251916757,0.9294605809128631
fy20,Montana,274,19287,168079000,38727000,24801000,63528000,246,8714.62643231192,2007.9328044797014,1285.8920516410017,3293.824856120703,5420.801576191217,0.8978102189781022
fy20,Nebraska,244,52774,578903000,226439000,59549000,285988000,35,10969.473604426423,4290.730283851897,1128.3776101868343,5419.1078940387315,5550.365710387691,0.14344262295081966
fy20,Nevada,17,58057,644586000,206724000,67783000,274507000,5,11102.640508465818,3560.707580481251,1167.5250185162856,4728.232598997537,6374.407909468281,0.29411764705882354
fy20,New Jersey,542,231222,3883617000,1188916000,331921000,1520837000,267,16796.053143732,5141.8809628841545,1435.5078668984786,6577.388829782633,10218.664313949364,0.492619926199262
fy20,North Dakota,126,15515,197919000,7590000,18869000,26459000,124,12756.622623267805,489.20399613277476,1216.17789236223,1705.381888495005,11051.2407347728,0.9841269841269841
fy20,South Dakota,147,22062,231001000,63413000,34348000,97761000,139,10470.5375759224,2874.308766204333,1556.8851418729037,4431.193908077237,6039.3436678451635,0.9455782312925171
fy20,Utah,41,76953,493224000,350132000,102582000,452714000,4,6409.418736111653,4549.94607097839,1333.0474445440723,5882.993515522462,526.4252205891908,0.0975609756097561
fy20,Virginia,132,179081,2628578000,525262000,266097000,791359000,125,14678.15122765676,2933.0973135061786,1485.9030271218053,4419.000340627984,10259.150887028776,0.946969696969697
fy20,Washington,269,150958,2361186000,1858197000,225312000,2083509000,120,15641.34394997284,12309.36419401423,1492.5475960200852,13801.911790034314,1839.4321599385257,0.44609665427509293
fy20,West Virginia,55,46980,435523000,6260000,78370000,84630000,55,9270.39165602384,133.2481907194551,1668.156662409536,1801.4048531289911,7468.986802894849,1
fy21,Alabama,116,85793,740889000,927000,173487000,174414000,116,8635.774480435466,10.805077337311902,2022.1579849171844,2032.9630622544962,6602.81141818097,1
fy21,Arkansas,234,63586,460429000,319137000,125657000,444794000,32,7241.043625955399,5018.982165885573,1976.1740005661625,6995.156166451735,245.8874595036641,0.13675213675213677
fy21,California,726,670678,12637155000,2046052000,1282428000,3328480000,708,18842.35803172312,3050.721806887955,1912.1366736347397,4962.858480522695,13879.499551200426,0.9752066115702479
fy21,Connecticut,154,76278,2077412000,505306000,118545000,623851000,143,27234.74658486064,6624.531319646556,1554.1178321403288,8178.649151786884,19056.097433073755,0.9285714285714286
fy21,Georgia,170,207063,2489837000,1521137000,327646000,1848783000,19,12024.53842550335,7346.252106846709,1582.3493332946978,8928.601440141407,3095.936985361943,0.11176470588235295
fy21,Idaho,89,29833,267155000,4288000,49604000,53892000,89,8955.016257164885,143.733449535749,1662.7224885194248,1806.4559380551739,7148.560319109712,1
fy21,Iowa,278,62686,883304000,3318000,31895000,35213000,278,14090.92939412309,52.93047889480905,508.8057939571834,561.7362728519925,13529.193121271097,1
fy21,Maine,131,19231,311616000,2695000,25671000,28366000,131,16203.837553949352,140.13831834017992,1334.8759814882221,1475.014299828402,14728.823254120949,1
fy21,Maryland,24,100117,1552352000,415153000,193814000,608967000,24,15505.378706912912,4146.678386288043,1935.8750262193234,6082.553412507366,9422.825294405546,1
fy21,Mississippi,135,62085,471698000,4234000,115992000,120226000,134,7597.616171377949,68.19682693082065,1868.2773616815657,1936.4741886123863,5661.141982765563,0.9925925925925926
fy21,Missouri,415,99441,1140544000,182195000,148592000,330787000,389,11469.554811395701,1832.191953017367,1494.2729859916935,3326.464939009061,8143.08987238664,0.9373493975903614
fy21,Montana,211,16075,151960000,35917000,24142000,60059000,201,9453.188180404355,2234.339035769829,1501.8351477449455,3736.1741835147745,5717.01399688958,0.95260663507109
fy21,Nebraska,182,45697,566207000,212573000,59163000,271736000,33,12390.463268923562,4651.793334354553,1294.680175941528,5946.47351029608,6443.989758627482,0.1813186813186813
fy21,Nevada,14,52904,676061000,209325000,81915000,291240000,7,12779.014819295327,3956.695145924694,1548.3706336004839,5505.065779525177,7273.94903977015,0.5
fy21,New Jersey,505,212666,3768428000,1322417000,344944000,1667361000,233,17719.936426132997,6218.281248530559,1621.9988150433073,7840.280063573867,9879.65636255913,0.4613861386138614
fy21,North Dakota,95,13194,200558000,6743000,27072000,33815000,93,15200.697286645445,511.0656358951038,2051.841746248295,2562.9073821433985,12637.789904502046,0.9789473684210527
fy21,South Dakota,110,18490,224149000,65508000,32776000,98284000,110,12122.714981070849,3542.888047593294,1772.6338561384532,5315.5219037317465,6807.193077339102,1
fy21,Utah,39,67317,504521000,350790000,107609000,458399000,3,7494.70416091032,5211.016533713623,1598.5412302984387,6809.557764012063,685.1463968982571,0.07692307692307693
fy21,Virginia,130,163009,2645300000,528961000,267708000,796669000,124,16227.938334693177,3244.9803385089167,1642.2896895263452,4887.270028035262,11340.668306657915,0.9538461538461539
fy21,Washington,244,134889,2358761000,1705247000,221262000,1926509000,148,17486.681641942636,12641.853672278688,1640.3264906701065,14282.180162948795,3204.5014789938414,0.6065573770491803
fy21,West Virginia,54,42376,433369000,5440000,72269000,77709000,54,10226.755710779687,128.3745516329998,1705.4228808759676,1833.7974325089674,8392.95827827072,1
fy22,Alabama,132,89095,797732000,911000,185336000,186247000,132,8953.723553510297,10.225040686907233,2080.206521129132,2090.431561816039,6863.291991694258,1
fy22,Arkansas,233,65022,480880000,316350000,123562000,439912000,44,7395.650702839039,4865.276367998524,1900.3106640829258,6765.587032081449,630.0636707575895,0.1888412017167382
fy22,California,716,682042,13859304000,2314622000,1482203000,3796825000,698,20320.30871999085,3393.6649062667693,2173.1843493509195,5566.849255617689,14753.459464373162,0.9748603351955307
fy22,Connecticut,155,77847,2236688000,507289000,133257000,640546000,148,28731.84580009506,6516.487469009724,1711.7808008015722,8228.268269811297,20503.577530283765,0.9548387096774194
fy22,Georgia,171,208417,2553893000,1542809000,337628000,1880437000,31,12253.765287860395,7402.5103518427,1619.9638225288725,9022.474174371573,3231.291113488822,0.18128654970760233
fy22,Idaho,91,30702,289014000,4805000,55195000,60000000,91,9413.523548954465,156.50446225001627,1797.765617875057,1954.2700801250733,7459.253468829392,1
fy22,Iowa,271,63087,910804000,2807000,31248000,34055000,271,14437.269167974384,44.49411130660833,495.3159922012459,539.8101035078543,13897.45906446653,1
fy22,Maine,169,31303,527313000,4856000,46008000,50864000,169,16845.446123374757,155.128901383254,1469.7632814746191,1624.892182857873,15220.553940516884,1
fy22,Maryland,24,99711,1640346000,424497000,223925000,648422000,24,16451.003399825495,4257.27352047417,2245.740189146634,6503.013709620805,9947.98969020469,1
fy22,Mississippi,129,61773,483307000,4714000,121877000,126591000,129,7823.919835526848,76.3116571965098,1972.9817234066663,2049.293380603176,5774.626454923672,1
fy22,Missouri,418,99062,1203399000,190282000,155020000,345302000,400,12147.937655205831,1920.8374553310048,1564.8785609012536,3485.7160162322584,8662.221638973573,0.9569377990430622
fy22,Montana,212,17037,162823000,36210000,25536000,61746000,197,9557.022950049892,2125.3741855960557,1498.855432294418,3624.2296178904735,5932.793332159418,0.9292452830188679
fy22,Nebraska,196,47427,613879000,215739000,85876000,301615000,38,12943.660783941637,4548.864570814093,1810.698547241023,6359.563118055116,6584.097665886521,0.19387755102040816
fy22,Nevada,17,52544,714787000,578443000,81375000,659818000,11,13603.5893727162,11008.73553593179,1548.7020401948844,12557.437576126675,1046.1517965895255,0.6470588235294118
fy22,New Jersey,507,215109,4129744000,1392898000,391765000,1784663000,277,19198.37849648318,6475.31251598027,1821.2394646435064,8296.551980623777,10901.826515859402,0.5463510848126233
fy22,North Dakota,90,13560,206104000,6466000,22502000,28968000,89,15199.410029498526,476.84365781710915,1659.4395280235988,2136.283185840708,13063.126843657818,0.9888888888888889
fy22,South Dakota,122,19487,243796000,61035000,38699000,99734000,120,12510.699440652743,3132.088058705804,1985.8880279160467,5117.97608662185,7392.723354030893,0.9836065573770492
fy22,Utah,40,70101,547170000,368207000,114893000,483100000,5,7805.452133350452,5252.521362034779,1638.963780830516,6891.485142865295,913.9669904851571,0.125
fy22,Virginia,130,161306,2804184000,525588000,281178000,806766000,127,17384.251050797862,3258.32889043185,1743.1341673589327,5001.463057790783,12382.78799300708,0.9769230769230769
fy22,Washington,236,134737,2469722000,1733833000,259373000,1993206000,144,18329.946488343958,12868.276716863222,1925.0317284784433,14793.308445341665,3536.6380430022928,0.6101694915254238
fy22,West Virginia,53,42005,439593000,5684000,77905000,83589000,53,10465.254136412332,135.31722413998332,1854.660159504821,1989.9773836448041,8475.276752767528,1
fy23,Alabama,131,93256,875977000,1081000,187346000,188427000,131,9393.25083640731,11.59174744788539,2008.943124302994,2020.5348717508793,7372.71596465643,1
fy23,Arkansas,233,66846,508731000,324000000,127827000,451827000,39,7610.492774436765,4846.961673099363,1912.2610178619514,6759.222690961314,851.2700834754514,0.16738197424892703
fy23,California,719,695764,15659682000,2902399000,1596871000,4499270000,703,22507.174846643404,4171.527989375708,2295.133119850984,6466.661109226692,16040.513737416712,0.9777468706536857
fy23,Connecticut,161,81613,2398944000,527667000,156494000,684161000,151,29394.140639358924,6465.477313663265,1917.5131412887654,8382.990454952029,21011.150184406895,0.937888198757764
fy23,Georgia,169,213236,2834965000,1654634000,368216000,2022850000,24,13294.964264945882,7759.637209476824,1726.8003526609016,9486.437562137726,3808.526702808156,0.14201183431952663
