state,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,current_sped_exp_fy20,sped_enroll_fy20,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,current_sped_exp_fy23,sped_enroll_fy23,state_sped_pp_funding_fy20,federal_sped_pp_funding_fy20,state_fed_sped_pp_funding_fy20,total_sped_pp_expenditure_fy20,state_sped_pp_funding_fy23,federal_sped_pp_funding_fy23,state_fed_sped_pp_funding_fy23,total_sped_pp_expenditure_fy23,local_sped_pp_obligation_fy20,local_sped_pp_obligation_fy23,local_sped_pp_obligation_diff
Alabama,1113786.844,192376386.027,193490172.871,844694311.421,90671,1081000,179193000,180274000,845560000,89757,12.28382662593332,2121.696970663167,2133.9807972891,9316.036124240385,12.043628909165859,1996.4236772619406,2008.4673061711064,9420.546586895729,7182.055326951286,7412.079280724623,230.02395377333687
Arkansas,341147318.082,140312676.315,481459994.397,527506226.024,65179,324000000,127827000,451827000,508731000,66846,5234.006629159699,2152.7282762085947,7386.734905368294,8093.192991975943,4846.961673099363,1912.2610178619514,6759.222690961314,7610.492774436765,706.4580866076494,851.2700834754514,144.811996867802
California,2160444729.669,1552011870.007,3712456599.676,12618554845.178,697547,2901392000,1594616000,4496008000,15631155000,693764,3097.2030983847685,2224.9566982683605,5322.159796653129,18089.899096660152,4182.102271089304,2298.499201457556,6480.60147254686,22530.93991616746,12767.739300007022,16050.3384436206,3282.5991436135773
Connecticut,590869745.987,143309182.343,734178928.33,2409309681.51,83353,527667000,152955000,680622000,2382906000,79751,7088.764003539165,1719.3044322699843,8808.06843580915,28904.894622988977,6616.431141929254,1917.906985492345,8534.338127421599,29879.324397186243,20096.826187179828,21344.986269764646,1248.1600825848182
Georgia,1821265179.348,378752769.704,2200017949.052,2886836470.483,219828,1654634000,368216000,2022850000,2834965000,213236,8284.955416725805,1722.9505327073894,10007.905949433194,13132.250989332568,7759.637209476824,1726.8003526609016,9486.437562137726,13294.964264945882,3124.3450398993737,3808.526702808156,684.1816629087825
Idaho,4499419.238,59095945.476,63595364.714,315207502.097,32619,4397000,58453000,62850000,316633000,32086,137.93860136730126,1811.7031630644717,1949.641764431773,9663.30979174714,137.03796048120677,1821.7602692763198,1958.7982297575265,9868.26030044256,7713.668027315367,7909.462070685034,195.79404336966672
Iowa,4173205.518,36667587.177,40840792.695,1021659429.276,67204,2487000,26601000,29088000,968253000,64661,62.09757630498185,545.6161415540741,607.713717859056,15202.360414201536,38.46213327972039,411.3917198929803,449.8538531727007,14974.2967167226,14594.64669634248,14524.442863549899,-70.20383279258022
Maine,3010486.616,34156906.582,37167393.198,388599763.852,20766,2959000,37012000,39971000,383368000,21054,144.97190677068284,1644.847663584706,1789.8195703553886,18713.26995338534,140.5433646812957,1757.955732877363,1898.4990975586586,18208.796428232166,16923.45038302995,16310.297330673508,-613.1530523564434
Maryland,483042130.939,231468440.173,714510571.112,2322803628.211,112799,420830000,250517000,671347000,1798677000,103287,4282.3263587354495,2052.043370712506,6334.369729447956,20592.413303406945,4074.375284401716,2425.4456030284546,6499.82088743017,17414.359987220076,14258.043573958988,10914.539099789905,-3343.5044741690836
Mississippi,5410487.556,134009761.225,139420248.781,415055696.544,67744,4088000,130310000,134398000,531114000,63393,79.86666798535663,1978.1790450076758,2058.0457129930323,6126.825940954181,64.48661524143044,2055.5897338822897,2120.0763491237203,8378.117457763476,4068.7802279611483,6258.041108639755,2189.260880678607
Missouri,209647072.403,164042394.347,373689466.75,1315920515.402,113552,189893000,141407000,331300000,1288745000,98743,1846.2649042112864,1444.6455751285755,3290.910479339862,11588.703989379315,1923.1034098619648,1432.0711341563454,3355.1745440183104,13051.50744862927,8297.793510039453,9696.332904610961,1398.5393945715077
Montana,41287006.462,28097486.733,69384493.19500001,177485894.75800002,17402,36072000,27365000,63437000,160022000,18015,2372.54375715435,1614.6125004597172,3987.1562576140677,10199.166461211356,2002.33139050791,1519.0119344990285,3521.343325006939,8882.708853733,6212.010203597289,5361.365528726061,-850.6446748712278
Nebraska,253831555.728,66991482.549,320823038.277,654064333.845,51280,220558000,71421000,291979000,652162000,49079,4949.913333229329,1306.386165152106,6256.299498381435,12754.764700565524,4493.938344302043,1455.2252490882047,5949.163593390248,13288.005053077692,6498.465202184088,7338.841459687444,840.3762575033552
Nevada,239489802.538,77972069.374,317461871.912,748426312.551,57775,555364000,77637000,633001000,688244000,52272,4145.215102345305,1349.581469043704,5494.796571389009,12954.155128533102,10624.50260177533,1485.2502295684114,12109.75283134374,13166.590143862872,7459.3585571440935,1056.837312519132,-6402.521244624962
New Jersey,1374372188.781,383325587.029,1757697775.81,4489180787.388,229430,1449738000,388496000,1838234000,4391482000,217664,5990.376972414244,1670.773599917186,7661.150572331429,19566.668645722006,6660.439944134078,1784.8426933254925,8445.282637459572,20175.509041458394,11905.518073390576,11730.226403998822,-175.2916693917541
North Dakota,8834566.567,21930882.376,30765448.943,222685135.762,13794,7069000,24406000,31475000,213075000,13370,640.4644459185153,1589.8856296940698,2230.350075612585,16143.62300724953,528.7210172026926,1825.4300673148841,2354.1510845175767,15936.79880329095,13913.272931636944,13582.647718773374,-330.6252128635697
South Dakota,72763135.295,37639238.043,110402373.338,251671554.882,20800,70578000,37468000,108046000,258397000,20075,3498.2276584134615,1809.5787520673075,5307.806410480769,12099.593984711539,3515.7160647571604,1866.40099626401,5382.11706102117,12871.581569115815,6791.78757423077,7489.464508094645,697.6769338638751
Utah,407652975.198,119405872.00999999,527058847.208,574176923.915,76899,408148000,107907000,516055000,585821000,72124,5301.147936878243,1552.7623507457834,6853.910287624027,7466.637068297377,5658.976207642394,1496.1316621374299,7155.107869779824,8122.41417558649,612.7267806733498,967.3063058066664,354.57952513331657
Virginia,610168782.672,308539926.67,918708709.342,3049924689.699,178293,553907000,312044000,865951000,3007053000,164481,3422.2812038161906,1730.5218189721415,5152.803022788332,17106.250327825546,3367.6047689398774,1897.143135073352,5264.747904013229,18282.0690535685,11953.447305037214,13017.32114955527,1063.8738445180552
Washington,2140695984.07,259585732.739,2400281716.809,2723196018.041,148775,1920913000,260213000,2181126000,2731082000,137646,14388.815218080994,1744.8209224600907,16133.636140541086,18304.123797956647,13955.45820437935,1890.4508667160687,15845.909071095419,19841.346642837423,2170.4876574155605,3995.4375717420044,1824.9499143264438
West Virginia,7071847.43,89260229.135,96332076.565,494997863.777,45786,5212000,80977000,86189000,464450000,41976,154.45436225046956,1949.5092197396584,2103.9635819901278,10811.118328244442,124.16619020392605,1929.1261673337144,2053.292357537641,11064.655993901277,8707.154746254313,9011.363636363636,304.20889010932297
