state,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,current_sped_exp_fy20,sped_enroll_fy20,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,current_sped_exp_fy23,sped_enroll_fy23,state_sped_pp_funding_fy20,federal_sped_pp_funding_fy20,state_fed_sped_pp_funding_fy20,total_sped_pp_expenditure_fy20,state_sped_pp_funding_fy23,federal_sped_pp_funding_fy23,state_fed_sped_pp_funding_fy23,total_sped_pp_expenditure_fy23,local_sped_pp_obligation_fy20,local_sped_pp_obligation_fy23,local_sped_pp_obligation_diff
Alabama,956000,165123000,166079000,725029000,90671,1081000,179193000,180274000,845560000,89757,10.543613724344057,1821.1225198795646,1831.6661336039087,7996.261208104024,12.043628909165859,1996.4236772619406,2008.4673061711064,9420.546586895729,6164.5950745001155,7412.079280724623,1247.484206224507
Arkansas,292818000,120435000,413253000,452776000,65179,324000000,127827000,451827000,508731000,66846,4492.520597124841,1847.7577133739394,6340.27831049878,6946.654597339634,4846.961673099363,1912.2610178619514,6759.222690961314,7610.492774436765,606.3762868408539,851.2700834754514,244.8937966345975
California,1854381000,1332143000,3186524000,10830922000,697547,2901392000,1594616000,4496008000,15631155000,693764,2658.431618227876,1909.7537513601235,4568.185369587999,15527.157309830018,4182.102271089304,2298.499201457556,6480.60147254686,22530.93991616746,10958.97194024202,16050.3384436206,5091.36650337858
Connecticut,507163000,123007000,630170000,2067990000,83353,527667000,152955000,680622000,2382906000,79751,6084.520053267429,1475.735726368577,7560.255779636006,24810.02483413914,6616.431141929254,1917.906985492345,8534.338127421599,29879.324397186243,17249.769054503136,21344.986269764646,4095.2172152615094
Georgia,1563252000,325096000,1888348000,2477867000,219828,1654634000,368216000,2022850000,2834965000,213236,7111.250614116491,1478.8652946849354,8590.115908801426,11271.844351038084,7759.637209476824,1726.8003526609016,9486.437562137726,13294.964264945882,2681.7284422366574,3808.526702808156,1126.7982605714988
Idaho,3862000,50724000,54586000,270553000,32619,4397000,58453000,62850000,316633000,32086,118.3972531346761,1555.0446059045341,1673.4418590392104,8294.337655967382,137.03796048120677,1821.7602692763198,1958.7982297575265,9868.26030044256,6620.895796928171,7909.462070685034,1288.5662737568628
Iowa,3582000,31473000,35055000,876924000,67204,2487000,26601000,29088000,968253000,64661,53.30039878578656,468.3203380751146,521.6207368609012,13048.68757812035,38.46213327972039,411.3917198929803,449.8538531727007,14974.2967167226,12527.06684125945,14524.442863549899,1997.3760222904493
Maine,2584000,29318000,31902000,333548000,20766,2959000,37012000,39971000,383368000,21054,124.43417124145238,1411.827024944621,1536.2611961860734,16062.217085620727,140.5433646812957,1757.955732877363,1898.4990975586586,18208.796428232166,14525.955889434654,16310.297330673508,1784.3414412388538
Maryland,414611000,198677000,613288000,1993739000,112799,420830000,250517000,671347000,1798677000,103287,3675.662018280304,1761.3365366714245,5436.998554951729,17675.147829324727,4074.375284401716,2425.4456030284546,6499.82088743017,17414.359987220076,12238.149274372998,10914.539099789905,-1323.6101745830929
Mississippi,4644000,115025000,119669000,356256000,67744,4088000,130310000,134398000,531114000,63393,68.55219650448748,1697.9363486065185,1766.488545111006,5258.8568729333965,64.48661524143044,2055.5897338822897,2120.0763491237203,8378.117457763476,3492.3683278223907,6258.041108639755,2765.6727808173646
Missouri,179947000,140803000,320750000,1129498000,113552,189893000,141407000,331300000,1288745000,98743,1584.7100887699028,1239.9869663237987,2824.6970550937017,9946.967028321826,1923.1034098619648,1432.0711341563454,3355.1745440183104,13051.50744862927,7122.2699732281235,9696.332904610961,2574.0629313828376
Montana,35438000,24117000,59555000,152342000,17402,36072000,27365000,63437000,160022000,18015,2036.432593954718,1385.8751867601425,3422.30778071486,8754.281117112976,2002.33139050791,1519.0119344990285,3521.343325006939,8882.708853733,5331.973336398116,5361.365528726061,29.39219232794494
Nebraska,217872000,57501000,275373000,561405000,51280,220558000,71421000,291979000,652162000,49079,4248.673946957878,1121.314352574103,5369.988299531981,10947.835413416537,4493.938344302043,1455.2252490882047,5949.163593390248,13288.005053077692,5577.847113884555,7338.841459687444,1760.9943458028883
Nevada,205562000,66926000,272488000,642399000,57775,555364000,77637000,633001000,688244000,52272,3557.97490263955,1158.390307226309,4716.365209865859,11118.97879705755,10624.50260177533,1485.2502295684114,12109.75283134374,13166.590143862872,6402.613587191692,1056.837312519132,-5345.77627467256
New Jersey,1179669000,329021000,1508690000,3853212000,229430,1449738000,388496000,1838234000,4391482000,217664,5141.73822080809,1434.0801115808742,6575.818332388964,16794.71734298043,6660.439944134078,1784.8426933254925,8445.282637459572,20175.509041458394,10218.899010591467,11730.226403998822,1511.327393407355
North Dakota,7583000,18824000,26407000,191138000,13794,7069000,24406000,31475000,213075000,13370,549.7317674351167,1364.6512976656518,1914.3830651007684,13856.604320719152,528.7210172026926,1825.4300673148841,2354.1510845175767,15936.79880329095,11942.221255618384,13582.647718773374,1640.4264631549904
