School Year,State FIPS Code,State Name,LEA Name,State LEA ID,NCES LEA ID,Combined Early Childhood and School Age Total,Early Childhood All Disabilities,Early Childhood Autism,Early Childhood Deaf-blindness,Early Childhood Developmental Delay,Early Childhood Emotional Disturbance,Early Childhood Hearing Impairment,Early Childhood Intellectual Disability,Early Childhood Multiple Disabilities,Early Childhood Orthopedic Impairment,Early Childhood Other Health Impairment,Early Childhood Specific Learning Disability,Early Childhood Speech or Language Impairment,Early Childhood Traumatic Brain Injury,Early Childhood Visual Impairment,Early Childhood Missing,School Age All Disabilities,School Age Autism,School Age Deaf-blindness,School Age Developmental Delay,School Age Emotional Disturbance,School Age Hearing Impairment,School Age Intellectual Disability,School Age Multiple Disabilities,School Age Orthopedic Impairment,School Age Other Health Impairment,School Age Specific Learning Disability,School Age Speech or Language Impairment,School Age Traumatic Brain Injury,School Age Visual Impairment,School Age Missing
2020-2021,01,ALABAMA,Acceleration Day and Evening Academy,800,0100197,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,0,0,0,-8,-8,0,0,17,23,0,0,-8,0
2020-2021,01,ALABAMA,Al Inst Deaf And Blind,600,0100009,354,22,0,0,-8,0,16,0,-8,0,0,0,-8,0,-8,0,332,0,3,0,0,166,-8,59,0,0,0,-8,0,101,0
2020-2021,01,ALABAMA,Alabama Clinical Schools,709,0100183,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-8,0,0,5,0,3,-8,0,12,14,-8,0,0,0
2020-2021,01,ALABAMA,Alabama Youth Services,210,0100002,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-8,0,-8,0,0,4,8,-8,0,0,0
2020-2021,01,ALABAMA,Alabaster City,103,0100190,678,23,5,0,12,0,0,0,0,0,0,0,6,0,0,0,655,102,0,45,55,7,37,9,-8,107,178,105,-8,7,0
2020-2021,01,ALABAMA,Albertville City,101,0100005,472,20,0,0,8,0,-8,0,0,-8,4,0,4,0,0,0,452,32,0,18,5,5,40,7,6,38,145,156,0,0,0
2020-2021,01,ALABAMA,Alexander City,102,0100030,403,8,0,0,4,0,0,0,0,-8,0,0,-8,0,0,0,395,32,0,17,10,5,25,4,-8,60,164,68,4,-8,0
2020-2021,01,ALABAMA,Andalusia City,104,0100060,294,18,-8,0,6,0,0,0,-8,0,0,0,6,0,0,0,276,29,0,18,3,0,13,-8,-8,58,76,74,-8,0,0
2020-2021,01,ALABAMA,Anniston City,105,0100090,215,9,0,0,-8,0,0,0,0,0,0,0,-8,0,0,0,206,11,0,26,4,-8,18,-8,-8,19,93,28,-8,-8,0
2020-2021,01,ALABAMA,Arab City,106,0100100,264,11,0,0,8,0,0,0,0,0,0,0,3,0,0,0,253,28,0,13,3,4,9,0,-8,18,80,94,-8,-8,0
2020-2021,01,ALABAMA,Athens City,107,0100120,532,31,7,0,-8,0,0,0,0,0,-8,0,17,0,0,0,501,61,0,9,-8,-8,16,-8,-8,57,254,89,4,3,0
2020-2021,01,ALABAMA,Attalla City,109,0100180,179,6,-8,0,-8,0,0,0,0,0,0,0,-8,0,0,0,173,13,0,13,-8,0,10,0,-8,18,88,27,0,0,0
2020-2021,01,ALABAMA,Auburn City,110,0100210,1003,57,-8,0,31,0,-8,0,0,0,0,0,21,0,0,0,946,117,0,78,6,11,54,7,3,157,321,188,0,4,0
2020-2021,01,ALABAMA,Autauga County,001,0100240,1055,39,5,0,3,0,0,0,0,0,6,0,25,0,0,0,1016,92,0,23,12,11,56,7,-8,141,466,192,-8,9,0
