Extraction Date:,7/6/2022,,,-8 Data suppressed due to small cell size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,-9 Data flagged due to questionable data quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Year,State FIPS Code,State Name,LEA Name,State LEA ID,NCES LEA ID,Combined Early Childhood and School Age Total,Early Childhood All Disabilities,Early Childhood Autism,Early Childhood Deaf-blindness,Early Childhood Developmental Delay,Early Childhood Emotional Disturbance,Early Childhood Hearing Impairment,Early Childhood Intellectual Disability,Early Childhood Multiple Disabilities,Early Childhood Orthopedic Impairment,Early Childhood Other Health Impairment,Early Childhood Specific Learning Disability,Early Childhood Speech or Language Impairment,Early Childhood Traumatic Brain Injury,Early Childhood Visual Impairment,Early Childhood Missing,School Age All Disabilities,School Age Autism,School Age Deaf-blindness,School Age Developmental Delay,School Age Emotional Disturbance,School Age Hearing Impairment,School Age Intellectual Disability,School Age Multiple Disabilities,School Age Orthopedic Impairment,School Age Other Health Impairment,School Age Specific Learning Disability,School Age Speech or Language Impairment,School Age Traumatic Brain Injury,School Age Visual Impairment,School Age Missing
2021-2022,1,ALABAMA,Acceleration Day and Evening Academy,800,100197,62,,,,,,,,,,,,,,,,62,4,0,0,0,0,-8,0,0,10,43,-8,0,0,0
2021-2022,1,ALABAMA,Al Inst Deaf And Blind,600,100009,349,21,0,0,-8,0,17,0,0,0,0,0,0,0,-8,0,328,0,-8,-8,0,160,-8,62,0,3,0,-8,0,98,0
2021-2022,1,ALABAMA,Alabama Youth Services,210,100002,21,,,,,,,,,,,,,,,,21,0,0,0,-8,0,-8,0,0,5,11,-8,0,0,0
2021-2022,1,ALABAMA,Alabaster City,103,100190,706,27,-8,0,10,0,0,0,0,0,-8,0,10,0,0,0,679,105,0,38,59,6,36,10,-8,117,194,104,-8,6,0
2021-2022,1,ALABAMA,Albertville City,101,100005,491,26,0,0,10,0,0,0,0,-8,-8,0,11,0,0,0,465,39,0,23,9,5,38,8,7,35,167,131,-8,-8,0
2021-2022,1,ALABAMA,Alexander City,102,100030,314,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
2021-2022,1,ALABAMA,Andalusia City,104,100060,330,29,7,0,8,0,-8,0,-8,0,0,0,11,0,0,0,301,34,0,14,-8,-8,11,6,0,57,110,65,-8,0,0
2021-2022,1,ALABAMA,Anniston City,105,100090,216,3,0,0,-8,0,0,0,0,0,0,0,-8,0,0,0,213,11,0,16,6,3,25,-8,-8,16,103,29,0,0,0
2021-2022,1,ALABAMA,Arab City,106,100100,288,21,-8,0,-8,0,0,0,0,0,0,0,10,-8,0,0,267,27,0,11,-8,4,13,-8,-8,21,96,88,-8,-8,-8
2021-2022,1,ALABAMA,Athens City,107,100120,586,38,10,0,4,0,0,0,0,0,0,0,24,0,0,0,548,74,0,13,5,-8,18,-8,3,59,264,102,3,4,0
