Extraction Date:,8/30/2023,,,-8 Data suppressed due to small cell size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,-9 Data flagged due to questionable data quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Year,State FIPS Code,State Name,LEA Name,State LEA ID,NCES LEA ID,Combined Early Childhood and School Age Total,Early Childhood All Disabilities,Early Childhood Autism,Early Childhood Deaf-blindness,Early Childhood Developmental Delay,Early Childhood Emotional Disturbance,Early Childhood Hearing Impairment,Early Childhood Intellectual Disability,Early Childhood Multiple Disabilities,Early Childhood Orthopedic Impairment,Early Childhood Other Health Impairment,Early Childhood Specific Learning Disability,Early Childhood Speech or Language Impairment,Early Childhood Traumatic Brain Injury,Early Childhood Visual Impairment,Early Childhood Missing,School Age All Disabilities,School Age Autism,School Age Deaf-blindness,School Age Developmental Delay,School Age Emotional Disturbance,School Age Hearing Impairment,School Age Intellectual Disability,School Age Multiple Disabilities,School Age Orthopedic Impairment,School Age Other Health Impairment,School Age Specific Learning Disability,School Age Speech or Language Impairment,School Age Traumatic Brain Injury,School Age Visual Impairment,School Age Missing
2022-2023,01,ALABAMA,Alabama Youth Services,210,0100002,24,,,,,,,,,,,,,,,,24,0,0,0,-8,0,-8,0,0,8,9,0,0,0,0
2022-2023,01,ALABAMA,Albertville City,101,0100005,513,22,-8,0,8,0,0,0,0,-8,-8,0,9,0,0,0,491,38,0,29,3,4,35,9,9,33,168,160,-8,-8,0
2022-2023,01,ALABAMA,Marshall County,048,0100006,744,20,-8,0,11,0,-8,0,0,0,0,0,4,0,0,0,724,82,0,38,14,4,62,6,4,43,350,112,3,6,0
2022-2023,01,ALABAMA,Hoover City,158,0100007,1428,109,25,0,44,0,0,0,0,0,3,0,37,0,0,0,1319,284,0,45,25,13,40,16,-8,330,335,217,-8,8,0
2022-2023,01,ALABAMA,Madison City,169,0100008,1403,86,20,0,29,0,-8,0,0,-8,-8,0,32,0,0,0,1317,253,0,85,15,12,43,11,13,229,376,273,-8,-8,0
2022-2023,01,ALABAMA,Al Inst Deaf And Blind,600,0100009,355,21,0,0,0,0,14,0,-8,0,0,0,-8,0,-8,0,334,0,-8,-8,0,163,4,51,-8,-8,0,0,0,110,0
2022-2023,01,ALABAMA,Leeds City,167,0100011,334,20,-8,0,-8,0,0,0,0,-8,0,0,15,0,0,0,314,33,0,11,7,-8,17,-8,-8,29,140,70,-8,0,0
2022-2023,01,ALABAMA,Boaz City,115,0100012,230,7,-8,0,-8,0,0,0,0,0,-8,0,3,0,0,0,223,26,0,12,-8,0,18,5,3,11,77,67,0,-8,0
2022-2023,01,ALABAMA,Trussville City,205,0100013,491,38,8,0,8,0,0,0,-8,0,-8,0,19,0,0,0,453,75,0,12,3,-8,24,-8,-8,88,132,109,-8,4,0
2022-2023,01,ALABAMA,Alexander City,102,0100030,322,13,-8,0,-8,0,0,0,0,0,0,0,8,0,0,0,309,24,0,7,5,-8,27,-8,3,34,138,65,3,0,0
2022-2023,01,ALABAMA,Andalusia City,104,0100060,331,25,8,0,8,0,0,0,0,0,-8,0,-8,0,0,0,306,34,0,16,-8,-8,10,9,0,43,125,62,-8,0,0
2022-2023,01,ALABAMA,Anniston City,105,0100090,199,3,-8,0,-8,0,0,0,0,0,0,0,0,0,0,0,196,11,0,7,3,-8,29,-8,-8,16,106,19,0,0,0
2022-2023,01,ALABAMA,Arab City,106,0100100,290,12,0,0,-8,0,0,0,0,0,0,0,7,-8,0,0,278,29,0,11,-8,-8,15,-8,-8,23,104,87,-8,-8,0
2022-2023,01,ALABAMA,Athens City,107,0100120,617,29,13,0,-8,0,0,0,0,0,-8,0,12,0,0,0,588,83,0,13,5,3,18,-8,3,52,298,107,3,-8,0
2022-2023,01,ALABAMA,JF Ingram State Technical College,640,0100176,14,,,,,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,-8,-8,0,0,0,0
2022-2023,01,ALABAMA,Attalla City,109,0100180,208,7,-8,0,-8,0,0,0,0,0,0,0,4,0,0,0,201,12,0,9,-8,0,13,0,-8,30,97,37,0,0,0
2022-2023,01,ALABAMA,Saraland City,187,0100185,384,19,3,0,4,0,0,0,0,-8,-8,0,9,0,0,0,365,54,0,14,-8,4,21,15,-8,87,108,57,-8,-8,0
2022-2023,01,ALABAMA,Chickasaw City,121,0100188,481,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
2022-2023,01,ALABAMA,Satsuma City,196,0100189,213,7,0,0,3,0,0,0,0,0,0,0,4,0,0,0,206,21,0,6,-8,0,10,5,0,55,64,42,-8,0,0
2022-2023,01,ALABAMA,Alabaster City,103,0100190,760,33,4,0,13,0,0,0,0,-8,-8,0,13,0,0,0,727,112,0,31,59,9,42,11,-8,133,215,106,-8,5,0
2022-2023,01,ALABAMA,Pelham City,177,0100194,429,30,-8,0,22,0,0,0,0,0,0,0,-8,0,0,0,399,47,0,38,10,-8,14,5,4,76,148,54,-8,0,0
2022-2023,01,ALABAMA,Pike Road City,186,0100195,257,11,-8,0,4,0,0,0,0,0,-8,0,4,0,0,0,246,56,0,6,-8,4,15,6,0,50,86,19,0,-8,0
2022-2023,01,ALABAMA,MAEF Public Charter Schools,800,0100197,85,,,,,,,,,,,,,,,,85,6,0,0,-8,0,8,0,0,13,55,-8,0,0,0
2022-2023,01,ALABAMA,University Charter School,801,0100199,66,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
2022-2023,01,ALABAMA,Legacy Prep,803,0100201,40,,,,,,,,,,,,,,,,40,-8,0,-8,0,0,0,0,0,-8,19,16,0,0,0
2022-2023,01,ALABAMA,Gulf Shores City,152,0100202,246,13,-8,0,-8,0,0,0,0,0,0,0,7,0,0,0,233,33,0,14,8,0,7,5,-8,37,77,49,0,-8,0
2022-2023,01,ALABAMA,LEAD Academy,802,0100203,54,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
2022-2023,01,ALABAMA,i3 Academy,805,0100204,93,,,,,,,,,,,,,,,,93,9,-8,3,0,-8,-8,-8,-8,11,44,16,-8,-8,0
2022-2023,01,ALABAMA,LIFE Academy,807,0100207,5,,,,,,,,,,,,,,,,5,-8,0,0,0,0,0,0,0,0,-8,0,0,0,0
2022-2023,01,ALABAMA,Breakthrough Charter School,808,0100208,17,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
2022-2023,01,ALABAMA,Auburn City,110,0100210,1169,85,11,0,39,0,-8,0,0,-8,5,0,26,0,-8,0,1084,156,-8,85,10,8,63,7,-8,173,371,205,0,-8,0
2022-2023,01,ALABAMA,Magic City Acceptance Academy,810,0100211,35,,,,,,,,,,,,,,,,35,4,0,0,-8,0,-8,0,0,14,12,-8,0,0,0
2022-2023,01,ALABAMA,Alabama Aerospace and Aviation,812,0100213,7,,,,,,,,,,,,,,,,7,-8,0,0,0,0,-8,0,0,-8,-8,-8,0,0,0
2022-2023,01,ALABAMA,Autauga County,001,0100240,1184,59,10,0,10,0,-8,0,0,0,-8,0,33,0,0,0,1125,131,0,18,12,12,49,-8,-8,177,505,202,5,7,0
2022-2023,01,ALABAMA,Baldwin County,002,0100270,4754,208,33,0,61,0,-8,0,-8,0,16,0,92,0,-8,0,4546,395,-8,167,48,22,176,126,11,969,1925,685,-8,15,0
2022-2023,01,ALABAMA,Barbour County,003,0100300,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,-8,0,6,0,0,9,0,-8,14,41,11,0,0,0
2022-2023,01,ALABAMA,Bessemer City,113,0100330,322,19,3,0,12,0,0,0,0,0,0,0,4,0,0,0,303,27,0,22,0,-8,38,-8,0,60,115,36,0,0,0
2022-2023,01,ALABAMA,Bibb County,004,0100360,423,25,-8,-8,-8,0,0,0,0,0,0,0,15,0,0,0,398,41,-8,14,-8,7,20,0,5,28,210,65,-8,-8,0
2022-2023,01,ALABAMA,Birmingham City,114,0100390,2483,132,25,0,55,0,0,0,3,-8,-8,0,44,0,0,0,2351,205,0,100,35,18,243,35,9,258,1086,351,4,7,0
2022-2023,01,ALABAMA,Blount County,005,0100420,1189,55,-8,0,24,0,0,0,0,-8,-8,0,25,0,0,0,1134,105,0,71,18,5,80,3,5,117,503,218,3,6,0
2022-2023,01,ALABAMA,Brewton City,116,0100450,132,4,-8,0,-8,0,0,0,0,0,0,0,-8,0,0,0,128,15,0,-8,0,0,8,-8,-8,17,46,34,0,0,0
2022-2023,01,ALABAMA,Bullock County,006,0100480,133,8,0,0,4,0,0,0,0,0,0,0,4,0,0,0,125,22,0,-8,0,0,25,0,-8,8,41,25,0,0,0
2022-2023,01,ALABAMA,Butler County,007,0100510,378,32,-8,0,0,0,0,0,0,0,0,0,-8,0,0,0,346,42,0,3,0,-8,22,0,-8,29,154,91,-8,-8,0
2022-2023,01,ALABAMA,Calhoun County,008,0100540,1283,51,-8,0,19,0,0,0,0,-8,-8,0,23,0,0,0,1232,130,0,35,13,6,81,-8,3,85,708,163,3,-8,0
2022-2023,01,ALABAMA,Chambers County,009,0100600,533,26,-8,0,10,0,0,0,0,0,-8,0,10,0,0,0,507,50,0,19,7,5,40,5,-8,84,238,53,-8,3,0
2022-2023,01,ALABAMA,Cherokee County,010,0100630,520,21,-8,0,-8,0,0,0,0,0,0,0,17,-8,0,0,499,56,0,13,17,-8,17,-8,9,14,283,80,-8,5,0
2022-2023,01,ALABAMA,Chilton County,011,0100660,968,57,9,0,11,0,-8,0,-8,0,-8,0,32,0,-8,0,911,98,0,21,12,6,37,15,4,125,347,232,4,10,0
2022-2023,01,ALABAMA,Choctaw County,012,0100690,136,7,0,0,-8,0,0,0,0,0,0,0,-8,0,0,0,129,11,0,5,-8,-8,26,-8,0,4,62,16,-8,0,0
2022-2023,01,ALABAMA,Clarke County,013,0100720,311,19,5,0,9,0,-8,0,0,-8,0,0,-8,0,0,0,292,33,0,20,0,3,34,4,3,13,150,28,-8,-8,0
2022-2023,01,ALABAMA,Clay County,014,0100750,225,16,3,0,9,0,0,0,0,-8,0,0,-8,0,0,0,209,22,0,11,-8,-8,40,4,-8,13,90,23,0,-8,0
2022-2023,01,ALABAMA,Cleburne County,015,0100780,315,20,-8,0,-8,0,0,0,0,-8,0,0,15,0,0,0,295,37,0,13,-8,-8,29,0,-8,15,137,59,0,-8,0
2022-2023,01,ALABAMA,Coffee County,016,0100810,344,12,-8,0,-8,0,0,0,0,0,-8,0,6,0,0,0,332,25,0,8,-8,6,18,0,-8,23,174,72,0,3,0
2022-2023,01,ALABAMA,Colbert County,017,0100840,498,20,-8,0,0,0,0,0,0,0,-8,0,10,0,0,0,478,40,0,11,-8,-8,21,-8,-8,65,264,70,0,-8,0
2022-2023,01,ALABAMA,Conecuh County,018,0100870,158,8,-8,0,-8,0,0,0,0,0,0,0,4,0,0,0,150,11,0,-8,0,-8,8,-8,0,13,51,58,0,0,0
2022-2023,01,ALABAMA,Coosa County,019,0100900,144,7,-8,0,3,0,0,0,0,0,0,0,-8,0,0,0,137,12,0,4,3,-8,19,-8,0,39,36,20,-8,0,0
2022-2023,01,ALABAMA,Covington County,020,0100930,476,46,-8,0,13,0,0,0,0,0,0,0,25,-8,0,0,430,34,0,31,3,-8,46,10,-8,35,154,108,-8,4,0
2022-2023,01,ALABAMA,Crenshaw County,021,0100960,353,14,-8,0,-8,0,0,0,0,0,0,0,-8,0,0,0,339,34,0,3,0,0,27,12,0,38,161,64,0,0,0
2022-2023,01,ALABAMA,Cullman City,125,0100990,403,29,5,0,13,0,0,0,0,-8,-8,0,8,0,0,0,374,35,0,40,6,-8,31,7,-8,34,151,64,0,-8,0
2022-2023,01,ALABAMA,Cullman County,022,0101020,1580,46,6,0,16,0,0,0,0,0,3,0,21,0,0,0,1534,92,0,73,5,0,154,20,6,251,712,215,-8,-8,0
2022-2023,01,ALABAMA,Dale County,023,0101050,347,11,-8,0,4,0,0,0,0,0,0,0,4,0,-8,0,336,29,0,21,6,-8,24,-8,-8,50,121,78,-8,0,0
2022-2023,01,ALABAMA,Daleville City,126,0101080,158,3,0,0,-8,0,0,0,0,0,0,0,-8,0,0,0,155,18,0,7,0,-8,10,0,0,18,73,26,0,-8,0
2022-2023,01,ALABAMA,Dallas County,024,0101110,357,8,-8,0,-8,0,0,0,0,0,0,0,4,0,0,0,349,23,0,5,4,0,62,-8,-8,46,169,34,0,-8,0
